# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,1.04889563366278e-11,
0.004,-1.86976576565787e-11,
0.006,-3.8305987294302e-11,
0.008,-4.35456613081754e-11,
0.01,-4.30856920067676e-11,
0.012,-4.4383617613798103e-11,
0.014,-4.6711769472657496e-11,
0.016,-4.66300070766524e-11,
0.018,-4.51396327835617e-11,
0.02,-4.64964239572321e-11,
0.022,-5.2160942928085104e-11,
0.024,-5.91213204452135e-11,
0.026,-6.36819847929075e-11,
0.028,-6.52754259396097e-11,
0.03,-6.63224426553324e-11,
0.032,-6.915070268648499e-11,
0.034,-7.348902521428509e-11,
0.036,-7.67097138502149e-11,
0.038,-7.63303625693121e-11,
0.04,-7.26263084506424e-11,
0.042,-6.893230906274161e-11,
0.044,-6.88135399052973e-11,
0.046,-7.24145898882053e-11,
0.048,-7.58377553880985e-11,
0.05,-7.476713345106121e-11,
0.052,-6.902532566148071e-11,
0.054,-6.332184451863171e-11,
0.056,-6.29852825484874e-11,
0.058,-6.861440126321391e-11,
0.06,-7.5085270601253e-11,
0.062,-7.62589189949837e-11,
0.064,-7.085738279600299e-11,
0.066,-6.35239751056394e-11,
0.068,-5.997623297578559e-11,
0.07,-6.13954605837584e-11,
0.072,-6.39619869759866e-11,
0.074,-6.37219566341333e-11,
0.076,-6.10582006307264e-11,
0.078,-5.97086489009426e-11,
0.08,-6.18159750230027e-11,
0.082,-6.51498949971105e-11,
0.084,-6.58191788068266e-11,
0.086,-6.301769496151041e-11,
0.088,-5.996359134270711e-11,
0.09,-5.993761295615461e-11,
0.092,-6.2194022764093e-11,
0.094,-6.25143438525389e-11,
0.096,-5.77008960586205e-11,
0.098,-4.8976955674493e-11,
0.1,-4.0734370464506705e-11,
0.102,-3.6196128654027104e-11,
0.104,-3.45984813030623e-11,
0.106,-3.25586210950298e-11,
0.108,-2.7866704096483397e-11,
0.11,-2.16986578302777e-11,
0.112,-1.71889011653904e-11,
0.114,-1.60935481206345e-11,
0.116,-1.69899961644562e-11,
0.118,-1.6633724157748102e-11,
0.12,-1.2922415876128e-11,
0.122,-6.62985076326554e-12,
0.124,-5.71839384778683e-13,
0.126,2.75567946850504e-12,
0.128,3.0433425160936e-12,
0.13,2.31676227977178e-12,
0.132,3.5072227296938296e-12,
0.134,8.442530284369179e-12,
0.136,1.64827693291736e-11,
0.138,2.47650802841437e-11,
0.14,3.01475734527311e-11,
0.142,3.16267311165479e-11,
0.144,3.12747344595479e-11,
0.146,3.26715072134224e-11,
0.148,3.7980501457120795e-11,
0.15,4.62358843678021e-11,
0.152,5.44288002935849e-11,
0.154,6.03241966710914e-11,
0.156,6.42578742850567e-11,
0.158,6.82736938451992e-11,
0.16,7.37399104770227e-11,
0.162,8.00545254729308e-11,
0.164,8.56571180112197e-11,
0.166,8.99471334008991e-11,
0.168,9.38295546675236e-11,
0.17,9.83591836722697e-11,
0.172,1.03196463663599e-10,
0.174,1.0673886337504502e-10,
0.176,1.0780429789761601e-10,
0.178,1.0699115602750301e-10,
0.18,1.06245393692471e-10,
0.182,1.07107051981395e-10,
0.184,1.0939307101926101e-10,
0.186,1.11489456680719e-10,
0.188,1.11831711119512e-10,
0.19,1.1019925463653099e-10,
0.192,1.0781709663921699e-10,
0.194,1.06322574897764e-10,
0.196,1.06468093951658e-10,
0.198,1.07546257946777e-10,
0.2,1.07997691993214e-10,
0.202,1.0678048804190899e-10,
0.204,1.04363750608043e-10,
0.206,1.0233015595906899e-10,
0.208,1.0173774121616099e-10,
0.21,1.01732900400679e-10,
0.212,9.998774991155141e-11,
0.214,9.48932993114491e-11,
0.216,8.749393304979359e-11,
0.218,8.10336996454969e-11,
0.22,7.81890790381944e-11,
0.222,7.85274411059358e-11,
0.224,7.87902363748251e-11,
0.226,7.59231443922917e-11,
0.228,6.998572180535389e-11,
0.23,6.41036672394749e-11,
0.232,6.15430378214297e-11,
0.234,6.28137181745208e-11,
0.236,6.55548795488712e-11,
0.238,6.70610219278121e-11,
0.24,6.67352906644722e-11,
0.242,6.60962808236305e-11,
0.244,6.66668025773293e-11,
0.246,6.819639829310979e-11,
0.248,6.90761520820435e-11,
0.25,6.83166034847113e-11,
0.252,6.68032772495263e-11,
0.254,6.64062877354436e-11,
0.256,6.78763865619787e-11,
0.258,6.979025250065721e-11,
0.26,6.97526298643104e-11,
0.262,6.67457067393137e-11,
0.264,6.23093375410341e-11,
0.266,5.9345195620739e-11,
0.268,5.964296805968199e-11,
0.27,6.24407425024823e-11,
0.272,6.52826711247443e-11,
0.274,6.62071504270213e-11,
0.276,6.51249327431647e-11,
0.278,6.32559917196712e-11,
0.28,6.155559636417289e-11,
0.282,5.996791133753149e-11,
0.284,5.81731588978181e-11,
0.286,5.66295979977253e-11,
0.288,5.6346879719616404e-11,
0.29,5.7453992834495296e-11,
0.292,5.834845702499921e-11,
0.294,5.6847724788424e-11,
0.296,5.2470063579853705e-11,
0.298,4.7328951208525106e-11,
0.3,4.4277829623267604e-11,
0.302,4.394216962434529e-11,
0.304,4.38261385152925e-11,
0.306,4.0767518905538e-11,
0.308,3.4412886157936e-11,
0.31,2.80019107985836e-11,
0.312,2.53481456045481e-11,
0.314,2.69349387567573e-11,
0.316,2.91952933291087e-11,
0.318,2.7905955432214396e-11,
0.32,2.23713972110334e-11,
0.322,1.6175168715943198e-11,
0.324,1.3732004076299199e-11,
0.326,1.61110709856292e-11,
0.328,2.02503167076782e-11,
0.33,2.21612786840268e-11,
0.332,2.0747526450708398e-11,
