# Real time calculation: 
# Eall: Total energy
# Eall0: Initial total energy
# 1:Time[fs] 2:Eall[eV] 3:Eall-Eall0[eV] 
      0.00000000 -0.865026937618314E+003  0.000000000000000E+000 
      0.02000000 -0.865026937654987E+003 -0.366728004422868E-007 
      0.04000000 -0.865026937654974E+003 -0.366596527429422E-007 
      0.06000000 -0.865026937654748E+003 -0.364340150203677E-007 
      0.08000000 -0.865026937653862E+003 -0.355476087314708E-007 
      0.10000000 -0.865026937651416E+003 -0.331017499563488E-007 
      0.12000000 -0.865026937645868E+003 -0.275539042042571E-007 
      0.14000000 -0.865026937634824E+003 -0.165100301033725E-007 
      0.16000000 -0.865026937614830E+003  0.348404365204029E-008 
      0.18000000 -0.865026937581164E+003  0.371501779376050E-007 
      0.20000000 -0.865026937527640E+003  0.906740752721429E-007 
      0.22000000 -0.865026937446425E+003  0.171889250934236E-006 
      0.24000000 -0.865026937327877E+003  0.290437512233639E-006 
      0.26000000 -0.865026937160412E+003  0.457902562338442E-006 
      0.28000000 -0.865026936930407E+003  0.687907544603293E-006 
      0.30000000 -0.865026936622135E+003  0.996179427626486E-006 
      0.32000000 -0.865026936217746E+003  0.140056872679898E-005 
      0.34000000 -0.865026935697280E+003  0.192103480981688E-005 
      0.36000000 -0.865026935038723E+003  0.257959137239889E-005 
      0.38000000 -0.865026934218105E+003  0.340020976402640E-005 
      0.40000000 -0.865026933209628E+003  0.440868635085894E-005 
      0.42000000 -0.865026931985827E+003  0.563248774024408E-005 
      0.44000000 -0.865026930517755E+003  0.710055984905418E-005 
      0.46000000 -0.865026928775189E+003  0.884312575780897E-005 
      0.48000000 -0.865026926726866E+003  0.108914487620645E-004 
      0.50000000 -0.865026924340728E+003  0.132775860463991E-004 
      0.52000000 -0.865026921584180E+003  0.160341341410870E-004 
      0.54000000 -0.865026918424346E+003  0.191939683849677E-004 
      0.56000000 -0.865026914828354E+003  0.227899607332821E-004 
      0.58000000 -0.865026910763610E+003  0.268547047194020E-004 
      0.60000000 -0.865026906198088E+003  0.314202266888170E-004 
      0.62000000 -0.865026901100601E+003  0.365177133710693E-004 
      0.64000000 -0.865026895441036E+003  0.421772779280451E-004 
      0.66000000 -0.865026889190600E+003  0.484277141113317E-004 
      0.68000000 -0.865026882322005E+003  0.552963090041761E-004 
      0.70000000 -0.865026874809646E+003  0.628086687177943E-004 
