# Units: Energy [eV], DOS [1/eV]
energy,dos
-8.0,0.0
-7.989995650282732,0.0
-7.979991300565463,0.0
-7.969986950848195,0.0
-7.9599826011309265,0.0
-7.9499782514136585,0.0
-7.93997390169639,0.0
-7.929969551979122,0.0
-7.919965202261853,6.97e-322
-7.909960852544585,1.446674e-318
-7.899956502827316,2.890744255e-315
-7.889952153110048,5.549783056805e-312
-7.8799478033927794,1.023694964916992e-308
-7.8699434536755115,1.814234214952943e-305
-7.859939103958243,3.089188182961669e-302
-7.849934754240975,5.053864605556591e-299
-7.839930404523706,7.943850596296569e-296
-7.829926054806438,1.1996837037077315e-292
-7.819921705089169,1.7407270544554835e-289
-7.809917355371901,2.42673764495395e-286
-7.799913005654632,3.250447861764364e-283
-7.7899086559373645,4.1830380095982357e-280
-7.779904306220096,5.172120659605335e-277
-7.769899956502828,6.144318447177348e-274
-7.759895606785559,7.013051312693293e-271
-7.749891257068291,7.69074744563445e-268
-7.739886907351022,8.103232824123469e-265
-7.729882557633754,8.20306815597356e-262
-7.719878207916485,7.978524057697342e-259
-7.7098738581992174,7.455847827170697e-256
-7.699869508481949,6.694216459080703e-253
-7.689865158764681,5.774717024733306e-250
-7.679860809047412,4.7861896819951695e-247
-7.669856459330144,3.811336981383078e-244
-7.659852109612875,2.9160370490394426e-241
-7.649847759895607,2.1435665645696887e-238
-7.639843410178338,1.5139417352049133e-235
-7.62983906046107,1.0273291269999799e-232
-7.619834710743802,6.697894414433085e-230
-7.609830361026534,4.1956113446843966e-227
-7.599826011309265,2.5251109583738655e-224
-7.589821661591997,1.46013814660162e-221
-7.579817311874728,8.112144843315999e-219
-7.56981296215746,4.330177692272899e-216
-7.559808612440191,2.220772225499241e-213
-7.549804262722923,1.0942853821051878e-210
-7.5397999130056546,5.18066446208262e-208
-7.529795563288387,2.356506405764233e-205
-7.519791213571118,1.0298644866879724e-202
-7.50978686385385,4.324340118871708e-200
-7.499782514136581,1.7445680675413445e-197
-7.489778164419313,6.762142402034127e-195
-7.479773814702044,2.518309089039358e-192
-7.469769464984776,9.010773848833354e-190
-7.4597651152675075,3.0977295094669903e-187
-7.44976076555024,1.0231828503153847e-184
-7.439756415832971,3.2470679668846936e-182
-7.429752066115703,9.900517281507456e-180
-7.419747716398434,2.900365872034493e-177
-7.409743366681166,8.163494299410864e-175
-7.399739016963897,2.2076378145538815e-172
-7.389734667246629,5.735984842880123e-170
-7.3797303175293605,1.4319129731590549e-167
-7.3697259678120925,3.434422577981577e-165
-7.359721618094824,7.914424430191513e-163
-7.349717268377556,1.7523201918938103e-160
-7.339712918660287,3.727658697799068e-158
-7.329708568943019,7.618814385460098e-156
-7.31970421922575,1.4961228261758163e-153
-7.309699869508482,2.8227716122548045e-151
-7.2996955197912134,5.116970397278203e-149
-7.2896911700739455,8.912073843316119e-147
-7.279686820356677,1.4913287738579448e-144
-7.269682470639409,2.397710865723784e-142
-7.25967812092214,3.703813124759314e-140
-7.249673771204872,5.497056663716844e-138
-7.239669421487603,7.838632602195682e-136
-7.229665071770335,1.0739385059547462e-133
-7.219660722053066,1.4136685411968217e-131
-7.2096563723357985,1.7879069751915677e-129
-7.19965202261853,2.1725584354156757e-127
-7.189647672901262,2.536455926944574e-125
