# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,9.77264081486642e-11,
0.004,1.02785750287103e-10,
0.006,1.1056380834566398e-10,
0.008,1.21690679980203e-10,
0.01,1.30250421440822e-10,
0.012,1.32640709734253e-10,
0.014,1.33652571112567e-10,
0.016,1.384310711648e-10,
0.018,1.4606365383710801e-10,
0.02,1.5281489324292998e-10,
0.022,1.5689655937774e-10,
0.024,1.58187165091848e-10,
0.026,1.56755361148955e-10,
0.028,1.53728936694775e-10,
0.03,1.51693568754791e-10,
0.032,1.52460795842915e-10,
0.034,1.5495892543872498e-10,
0.036,1.56204331057837e-10,
0.038,1.5421471687328302e-10,
0.04,1.49718281619888e-10,
0.042,1.45330254597607e-10,
0.044,1.43315423871421e-10,
0.046,1.4387101505075098e-10,
0.048,1.45160687583529e-10,
0.05,1.4490046747016e-10,
0.052,1.42127856738124e-10,
0.054,1.3780059990332398e-10,
0.056,1.3396468640179101e-10,
0.058,1.3230377671683902e-10,
0.06,1.33113764079318e-10,
0.062,1.35260036742704e-10,
0.064,1.37016272554045e-10,
0.066,1.37205172711265e-10,
0.068,1.35896975461631e-10,
0.07,1.34174367657125e-10,
0.072,1.33123978933985e-10,
0.074,1.32864058837425e-10,
0.076,1.32437896812105e-10,
0.078,1.30638850111533e-10,
0.08,1.26979556838466e-10,
0.082,1.21941227570539e-10,
0.084,1.16382865964717e-10,
0.086,1.10753021448886e-10,
0.088,1.0481496943818301e-10,
0.09,9.80276700726711e-11,
0.092,9.0130545944685e-11,
0.094,8.137745844499171e-11,
0.096,7.227218727486651e-11,
0.098,6.31377574708982e-11,
0.1,5.39379854137436e-11,
0.102,4.4437009224018206e-11,
0.104,3.44602031649609e-11,
0.106,2.40437187919385e-11,
0.108,1.3465874953269801e-11,
0.11,3.1907941879521002e-12,
0.112,-6.34571747811739e-12,
0.114,-1.50864415635015e-11,
0.116,-2.3526767942921698e-11,
0.118,-3.2371457945107805e-11,
0.12,-4.18235835208955e-11,
0.122,-5.1189084943466e-11,
0.124,-5.93393808195926e-11,
0.126,-6.57473160774726e-11,
0.128,-7.11427503462182e-11,
0.13,-7.70969189698732e-11,
