# Units: Energy [eV], DOS [1/eV]
energy,dos
-8.0,2.899420137e-315
-7.989995650282732,5.56711882559e-312
-7.979991300565463,1.027023096834167e-308
-7.969986950848195,1.820373047938298e-305
-7.9599826011309265,3.100067432769067e-302
-7.9499782514136585,5.072388824693721e-299
-7.93997390169639,7.974155205283801e-296
-7.929969551979122,1.2044469743370542e-292
-7.919965202261853,1.7479203782455256e-289
-7.909960852544585,2.437174790125365e-286
-7.899956502827316,3.2649978144984576e-283
-7.889952153110048,4.202526094594345e-280
-7.8799478033927794,5.197199326775925e-277
-7.8699434536755115,6.175325994954537e-274
-7.859939103958243,7.049886090337692e-271
-7.849934754240975,7.73278876356966e-268
-7.839930404523706,8.149335083150222e-265
-7.829926054806438,8.25164124026824e-262
-7.819921705089169,8.027693662827106e-259
-7.809917355371901,7.503669558815468e-256
-7.799913005654632,6.738903478220838e-253
-7.7899086559373645,5.814837397113748e-250
-7.779904306220096,4.820797640096607e-247
-7.769899956502828,3.840019310691264e-244
-7.759895606785559,2.9388762153576974e-241
-7.749891257068291,2.161039804112603e-238
-7.739886907351022,1.5267855470132798e-235
-7.729882557633754,1.0363998461187821e-232
-7.719878207916485,6.759442811795891e-230
-7.7098738581992174,4.235736708594122e-227
-7.699869508481949,2.5502441928815535e-224
-7.689865158764681,1.475263478182088e-221
-7.679860809047412,8.199600620123573e-219
-7.669856459330144,4.378762348029641e-216
-7.659852109612875,2.2467042689600408e-213
-7.649847759895607,1.1075838400529964e-210
-7.639843410178338,5.2461873013913304e-208
-7.62983906046107,2.3875242034741724e-205
-7.619834710743802,1.0439721790437366e-202
-7.609830361026534,4.385989356973154e-200
-7.599826011309265,1.7704517520759322e-197
-7.589821661591997,6.866554559701622e-195
-7.579817311874728,2.558776234016367e-192
-7.56981296215746,9.16146248912877e-190
-7.559808612440191,3.1516414353219463e-187
-7.549804262722923,1.0417145599717388e-184
-7.5397999130056546,3.308270917645223e-182
-7.529795563288387,1.0094720037086214e-179
-7.519791213571118,2.959571703513118e-177
-7.50978686385385,8.336914452536304e-175
-7.499782514136581,2.2564423901484446e-172
-7.489778164419313,5.86794636523742e-170
-7.479773814702044,1.4661944717486508e-167
-7.469769464984776,3.519987918773364e-165
-7.4597651152675075,8.119616924356932e-163
-7.44976076555024,1.7995972504714356e-160
-7.439756415832971,3.832314836055703e-158
-7.429752066115703,7.841403604161203e-156
-7.419747716398434,1.5416078666664616e-153
-7.409743366681166,2.9120729492673674e-151
-7.399739016963897,5.285420826022512e-149
-7.389734667246629,9.217362683056974e-147
-7.3797303175293605,1.544487460555565e-144
-7.3697259678120925,2.486643655932901e-142
-7.359721618094824,3.8467597155145593e-140
-7.349717268377556,5.717811250752708e-138
-7.339712918660287,8.166176534090022e-136
-7.329708568943019,1.1206316477474522e-133
-7.31970421922575,1.4776214314595242e-131
-7.309699869508482,1.872064046714396e-129
-7.2996955197912134,2.278959070772939e-127
-7.2896911700739455,2.665703024810654e-125
-7.279686820356677,2.996039758032691e-123
-7.269682470639409,3.235527812406345e-121
-7.25967812092214,3.357420116559746e-119
-7.249673771204872,3.3475763627989695e-117
-7.239669421487603,3.2071617126586666e-115
-7.229665071770335,2.952419979135685e-113
-7.219660722053066,2.6115822899976305e-111
-7.2096563723357985,2.2197242716355255e-109
-7.19965202261853,1.8128654062531293e-107
-7.189647672901262,1.4226721497051396e-105
-7.179643323183993,1.072799106324786e-103
-7.169638973466725,7.773344139506747e-102
-7.159634623749456,5.412214073893064e-100
-7.149630274032188,3.62093996409313e-98
-7.139625924314919,2.3278164037764156e-96
-7.1296215745976514,1.43800027932047e-94
-7.119617224880383,8.535990348675103e-93
-7.109612875163115,4.86895164370856e-91
-7.099608525445846,2.668735669048931e-89
-7.089604175728578,1.4056144530628593e-87
-7.079599826011309,7.114091968716979e-86
-7.069595476294041,3.459931071359125e-84
-7.059591126576772,1.6170084243629348e-82
-7.049586776859504,7.261999032898201e-81
-7.039582427142236,3.134017483065305e-79
-7.029578077424968,1.299721409472816e-77
-7.019573727707699,5.1797060888578284e-76
-7.009569377990431,1.9836651125383586e-74
-6.999565028273162,7.300329185085299e-73
-6.989560678555894,2.581843354677237e-71
-6.979556328838625,8.774719614889395e-70
-6.969551979121357,2.865861015775447e-68
-6.9595476294040886,8.994937969429474e-67
-6.949543279686821,2.713095572195982e-65
-6.939538929969552,7.864273927207256e-64
-6.929534580252284,2.1906933325306636e-62
-6.919530230535015,5.864578382016369e-61
-6.909525880817747,1.5087842572972087e-59
-6.899521531100478,3.7304013801932535e-58
-6.88951718138321,8.863903655758799e-57
-6.8795128316659415,2.0241307073044782e-55
-6.869508481948674,4.4422112127992495e-54
-6.859504132231405,9.369363386623173e-53
-6.849499782514137,1.8992159054988284e-51
-6.839495432796868,3.6999440923716965e-50
-6.8294910830796,6.927488080612945e-49
-6.819486733362331,1.2465781053693157e-47
-6.809482383645063,2.1559049512928688e-46
-6.7994780339277945,3.583517301836016e-45
