# Real time calculation: 
# Ac_ext: External vector potential field
# E_ext: External electric field
# Ac_tot: Total vector potential field
# E_tot: Total electric field
# Jm: Matter current density (electrons)
# 1:Time[fs] 2:Ac_ext_x[fs*V/Angstrom] 3:Ac_ext_y[fs*V/Angstrom] 4:Ac_ext_z[fs*V/Angstrom] 5:E_ext_x[V/Angstrom] 6:E_ext_y[V/Angstrom] 7:E_ext_z[V/Angstrom] 8:Ac_tot_x[fs*V/Angstrom] 9:Ac_tot_y[fs*V/Angstrom] 10:Ac_tot_z[fs*V/Angstrom] 11:E_tot_x[V/Angstrom] 12:E_tot_y[V/Angstrom] 13:E_tot_z[V/Angstrom]  14:Jm_x[1/fs*Angstrom^2] 15:Jm_y[1/fs*Angstrom^2] 16:Jm_z[1/fs*Angstrom^2] 
      0.00200000 -0.109301844889228E-008  0.000000000000000E+000  0.000000000000000E+000  0.546509243907152E-006  0.000000000000000E+000  0.000000000000000E+000 -0.109301844889228E-008  0.000000000000000E+000  0.000000000000000E+000  0.546509243907152E-006  0.000000000000000E+000  0.000000000000000E+000  -0.359273561821721E-008  0.242311287574663E-009 -0.169788924038914E-009 
      0.00400000 -0.447632148982729E-008  0.000000000000000E+000  0.000000000000000E+000  0.169165158070665E-005  0.000000000000000E+000  0.000000000000000E+000 -0.447632148982729E-008  0.000000000000000E+000  0.000000000000000E+000  0.169165158070665E-005  0.000000000000000E+000  0.000000000000000E+000  -0.149957171333329E-007  0.218073132344828E-009 -0.187925551246316E-009 
      0.00600000 -0.103062759645042E-007  0.000000000000000E+000  0.000000000000000E+000  0.291497734113983E-005  0.000000000000000E+000  0.000000000000000E+000 -0.103062759645042E-007  0.000000000000000E+000  0.000000000000000E+000  0.291497734113983E-005  0.000000000000000E+000  0.000000000000000E+000  -0.344168286184801E-007  0.188246997401452E-009 -0.205857701595885E-009 
      0.00800000 -0.187392421085039E-007  0.000000000000000E+000  0.000000000000000E+000  0.421648322214737E-005  0.000000000000000E+000  0.000000000000000E+000 -0.187392421085039E-007  0.000000000000000E+000  0.000000000000000E+000  0.421648322214737E-005  0.000000000000000E+000  0.000000000000000E+000  -0.623103200314408E-007  0.153252541407649E-009 -0.222901809993158E-009 
      0.01000000 -0.299315731264011E-007  0.000000000000000E+000  0.000000000000000E+000  0.559616570822617E-005  0.000000000000000E+000  0.000000000000000E+000 -0.299315731264011E-007  0.000000000000000E+000  0.000000000000000E+000  0.559616570822617E-005  0.000000000000000E+000  0.000000000000000E+000  -0.991159949826725E-007  0.121568167407008E-009 -0.239663551057091E-009 
      0.01200000 -0.440396147669650E-007  0.000000000000000E+000  0.000000000000000E+000  0.705402107147326E-005  0.000000000000000E+000  0.000000000000000E+000 -0.440396147669650E-007  0.000000000000000E+000  0.000000000000000E+000  0.705402107147326E-005  0.000000000000000E+000  0.000000000000000E+000  -0.145251878525314E-006  0.100713040674932E-009 -0.257491868400565E-009 
      0.01400000 -0.612197048982957E-007  0.000000000000000E+000  0.000000000000000E+000  0.859004537155397E-005  0.000000000000000E+000  0.000000000000000E+000 -0.612197048982957E-007  0.000000000000000E+000  0.000000000000000E+000  0.859004537155397E-005  0.000000000000000E+000  0.000000000000000E+000  -0.201121922379700E-006  0.876543794040820E-010 -0.270332829969398E-009 
      0.01600000 -0.816281730830907E-007  0.000000000000000E+000  0.000000000000000E+000  0.102042344557668E-004  0.000000000000000E+000  0.000000000000000E+000 -0.816281730830907E-007  0.000000000000000E+000  0.000000000000000E+000  0.102042344557668E-004  0.000000000000000E+000  0.000000000000000E+000  -0.267127636248303E-006  0.723422771393313E-010 -0.269184331452951E-009 
      0.01800000 -0.105421340153807E-006  0.000000000000000E+000  0.000000000000000E+000  0.118965839589914E-004  0.000000000000000E+000  0.000000000000000E+000 -0.105421340153807E-006  0.000000000000000E+000  0.000000000000000E+000  0.118965839589914E-004  0.000000000000000E+000  0.000000000000000E+000  -0.343676122473297E-006  0.468666619972414E-010 -0.252447492703032E-009 
      0.02000000 -0.132755517787932E-006  0.000000000000000E+000  0.000000000000000E+000  0.136670893037432E-004  0.000000000000000E+000  0.000000000000000E+000 -0.132755517787932E-006  0.000000000000000E+000  0.000000000000000E+000  0.136670893037432E-004  0.000000000000000E+000  0.000000000000000E+000  -0.431174836666163E-006  0.111149203019728E-010 -0.228187504518251E-009 
      0.02200000 -0.163787008083262E-006  0.000000000000000E+000  0.000000000000000E+000  0.155157457001752E-004  0.000000000000000E+000  0.000000000000000E+000 -0.163787008083262E-006  0.000000000000000E+000  0.000000000000000E+000  0.155157457001752E-004  0.000000000000000E+000  0.000000000000000E+000  -0.530022599646513E-006 -0.306370341746311E-010 -0.206844499482368E-009 
      0.02400000 -0.198672103133121E-006  0.000000000000000E+000  0.000000000000000E+000  0.174425481460527E-004  0.000000000000000E+000  0.000000000000000E+000 -0.198672103133121E-006  0.000000000000000E+000  0.000000000000000E+000  0.174425481460527E-004  0.000000000000000E+000  0.000000000000000E+000  -0.640608322464878E-006 -0.728453286933967E-010 -0.192491989936434E-009 
