# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,-1.8116643419019602e-11,
0.004,-5.06716772976542e-11,
0.006,-5.731462196773071e-11,
0.008,-3.78160117320764e-11,
0.01,-3.82750515498108e-12,
0.012,3.1517006392846e-11,
0.014,5.97535625678353e-11,
0.016,7.876563126554591e-11,
0.018,9.20857973337241e-11,
0.02,1.06317961887852e-10,
0.022,1.2545606288377301e-10,
0.024,1.4708939380365902e-10,
0.026,1.64930702062783e-10,
0.028,1.7444420799386598e-10,
0.03,1.75290990705675e-10,
0.032,1.69737756942772e-10,
0.034,1.6057652996895e-10,
0.036,1.5017868113432302e-10,
0.038,1.39892851187111e-10,
0.04,1.3007040041981801e-10,
0.042,1.2144839371004902e-10,
0.044,1.16384976777686e-10,
0.046,1.17854655585569e-10,
0.048,1.2706599936494002e-10,
0.05,1.42631283028984e-10,
0.052,1.62234540379715e-10,
0.054,1.8467650453341502e-10,
0.056,2.10031048809405e-10,
0.058,2.38008594060012e-10,
0.06,2.66353360287337e-10,
0.062,2.90776248271534e-10,
0.064,3.06564492834418e-10,
0.066,3.10873945783953e-10,
0.068,3.04231285066575e-10,
0.07,2.9020653878571496e-10,
0.072,2.73573827839531e-10,
0.074,2.58444499238006e-10,
0.076,2.47446361062143e-10,
0.078,2.4158967830124897e-10,
0.08,2.40105556998276e-10,
0.082,2.4066354122903e-10,
0.084,2.4081754065936997e-10,
0.086,2.40062968936967e-10,
0.088,2.4049234382653503e-10,
0.09,2.45020522035773e-10,
0.092,2.54596103779215e-10,
0.094,2.66847474137951e-10,
0.096,2.7726077598588697e-10,
0.098,2.8194324123759896e-10,
0.1,2.8007839672637496e-10,
0.102,2.74560872479328e-10,
0.104,2.70413892160832e-10,
0.106,2.71903742767521e-10,
0.108,2.80131407917917e-10,
0.11,2.92594307735713e-10,
0.112,3.0481359843961297e-10,
0.114,3.12715397077175e-10,
0.116,3.14202963727538e-10,
0.118,3.09309860045461e-10,
0.12,2.9945242733621e-10,
0.122,2.86622533644653e-10,
0.124,2.72868846429081e-10,
0.126,2.59884804259179e-10,
0.128,2.4855674406666404e-10,
0.13,2.38710426680494e-10,
0.132,2.29377934625758e-10,
0.134,2.19503790886765e-10,
0.136,2.08625600310754e-10,
0.138,1.97164873282501e-10,
0.14,1.86327473669312e-10,
0.142,1.7772484800469902e-10,
0.144,1.7269050403390898e-10,
0.146,1.71368523794324e-10,
0.148,1.72104190985405e-10,
0.15,1.7185814965110901e-10,
0.152,1.67753422739333e-10,
0.154,1.5884583275154402e-10,
0.156,1.4680829180887499e-10,
0.158,1.34938955250342e-10,
0.16,1.26148749107247e-10,
0.162,1.21294750552617e-10,
0.164,1.18889365420386e-10,
0.166,1.16208884725344e-10,
0.168,1.10952101987261e-10,
0.17,1.02428397083833e-10,
0.172,9.17725615407189e-11,
0.174,8.13909862982675e-11,
0.176,7.41659300218041e-11,
0.178,7.27172143844162e-11,
0.18,7.86419129798273e-11,
0.182,9.16642809897593e-11,
0.184,1.0907761832705699e-10,
0.186,1.26162799772726e-10,
0.188,1.37843825276514e-10,
0.19,1.40866165955701e-10,
0.192,1.35155960903771e-10,
0.194,1.2345247784928701e-10,
0.196,1.09526599686277e-10,
0.198,9.625086445741051e-11,
0.2,8.46836961236257e-11,
0.202,7.43959072560515e-11,
0.204,6.4412971324934e-11,
0.206,5.4011160359025796e-11,
0.208,4.30346835967717e-11,
0.21,3.18240217533276e-11,
0.212,2.09574780001006e-11,
0.214,1.09487114878545e-11,
0.216,2.02386934223849e-12,
0.218,-5.90714004359882e-12,
0.22,-1.30992480127599e-11,
0.222,-1.98312809374573e-11,
0.224,-2.64461921013717e-11,
0.226,-3.34620878195499e-11,
0.228,-4.1403920440437e-11,
0.23,-5.0184925519433295e-11,
0.232,-5.843154017805551e-11,
0.234,-6.35481524707907e-11,
0.236,-6.29906117961792e-11,
0.238,-5.6225081570746506e-11,
0.24,-4.5997499295258204e-11,
0.242,-3.7708015585959e-11,
0.244,-3.6944262723051894e-11,
0.246,-4.6628899230453297e-11,
0.248,-6.55966075224195e-11,
0.25,-8.94031760346531e-11,
0.252,-1.12631621042391e-10,
0.254,-1.31137321375921e-10,
0.256,-1.43080301428199e-10,
0.258,-1.4866510479540698e-10,
0.26,-1.49283459967574e-10,
0.262,-1.4677552686695401e-10,
0.264,-1.43076444913113e-10,
0.266,-1.40117973423531e-10,
0.268,-1.39734861316094e-10,
0.27,-1.4338550702366802e-10,
0.272,-1.51631872242137e-10,
0.274,-1.6354986483102301e-10,
0.276,-1.7650101560191502e-10,
0.278,-1.8673234015629e-10,
0.28,-1.90853967347562e-10,
0.282,-1.87541958227216e-10,
0.284,-1.78396297370917e-10,
0.286,-1.67236062093688e-10,
0.288,-1.5811209601529398e-10,
0.29,-1.53236315513373e-10,
0.292,-1.52127406594635e-10,
0.294,-1.5244737822485602e-10,
0.296,-1.51872705103133e-10,
0.298,-1.49734403236509e-10,
0.3,-1.47444467756636e-10,
0.302,-1.4759046971618e-10,
0.304,-1.52371355343205e-10,
0.306,-1.6230239066461198e-10,
0.308,-1.75823621090328e-10,
0.31,-1.89901569754425e-10,
0.312,-2.0122985232027899e-10,
0.314,-2.07390320395948e-10,
0.316,-2.07406021545026e-10,
0.318,-2.01494091739141e-10,
0.32,-1.90352537605009e-10,
0.322,-1.7465728629529099e-10,
0.324,-1.55290016478396e-10,
0.326,-1.34179129641854e-10,
0.328,-1.1496949827954699e-10,
0.33,-1.0262606722849799e-10,
0.332,-1.0173038743848899e-10,
0.334,-1.14232538042288e-10,
0.336,-1.38018139074025e-10,
0.338,-1.6733823132186e-10,
0.34,-1.95082325811549e-10,
0.342,-2.1575207842354002e-10,
0.344,-2.2755156285244598e-10,
0.346,-2.3252078879994402e-10,
0.348,-2.34760034816483e-10,
0.35,-2.37825374399393e-10,
0.352,-2.4272362632859e-10,
0.354,-2.47457791805817e-10,
0.356,-2.48139167376914e-10,
0.358,-2.40892933207276e-10,
0.36,-2.2356950125220902e-10,
0.362,-1.96629136101939e-10,
0.364,-1.63120166772616e-10,
0.366,-1.28012607275298e-10,
0.368,-9.71513957452002e-11,
0.37,-7.59545188494595e-11,
0.372,-6.79825617305718e-11,
0.374,-7.371832458115671e-11,
0.376,-9.01006639322832e-11,
0.378,-1.1125694987857601e-10,
0.38,-1.3038971353376001e-10,
