# Units: Energy [eV], DOS [1/eV]
energy,dos
-8.0,0.0
-7.989995650282732,0.0
-7.979991300565463,0.0
-7.969986950848195,0.0
-7.9599826011309265,0.0
-7.9499782514136585,0.0
-7.93997390169639,0.0
-7.929969551979122,6.97e-322
-7.919965202261853,1.446674e-318
-7.909960852544585,2.890744255e-315
-7.899956502827316,5.54978305681e-312
-7.889952153110048,1.023694964916992e-308
-7.8799478033927794,1.8142342149541805e-305
-7.8699434536755115,3.089188182961669e-302
-7.859939103958243,5.053864605560038e-299
-7.849934754240975,7.943850596296569e-296
-7.839930404523706,1.1996837037085499e-292
-7.829926054806438,1.7407270544554835e-289
-7.819921705089169,2.42673764495533e-286
-7.809917355371901,3.250447861764364e-283
-7.799913005654632,4.183038009601089e-280
-7.7899086559373645,5.172120659605335e-277
-7.779904306220096,6.144318447181539e-274
-7.769899956502828,7.013051312693293e-271
-7.759895606785559,7.690747445639696e-268
-7.749891257068291,8.103232824123469e-265
-7.739886907351022,8.203068155979155e-262
-7.729882557633754,7.978524057697342e-259
-7.719878207916485,7.455847827174935e-256
-7.7098738581992174,6.694216459080703e-253
-7.699869508481949,5.774717024737246e-250
-7.689865158764681,4.7861896819951695e-247
-7.679860809047412,3.8113369813856777e-244
-7.669856459330144,2.9160370490394426e-241
-7.659852109612875,2.143566564570907e-238
-7.649847759895607,1.5139417352049133e-235
-7.639843410178338,1.0273291270006807e-232
-7.62983906046107,6.697894414433085e-230
-7.619834710743802,4.1956113446867816e-227
-7.609830361026534,2.5251109583738655e-224
-7.599826011309265,1.4601381466025327e-221
-7.589821661591997,8.112144843315999e-219
-7.579817311874728,4.330177692275606e-216
-7.56981296215746,2.220772225499241e-213
-7.559808612440191,1.0942853821057475e-210
-7.549804262722923,5.18066446208262e-208
-7.5397999130056546,2.356506405765439e-205
-7.529795563288387,1.0298644866879724e-202
-7.519791213571118,4.3243401188739213e-200
-7.50978686385385,1.7445680675413445e-197
-7.499782514136581,6.7621424020379705e-195
-7.489778164419313,2.518309089039358e-192
-7.479773814702044,9.01077384883745e-190
-7.469769464984776,3.0977295094669903e-187
-7.4597651152675075,1.0231828503159661e-184
-7.44976076555024,3.2470679668846936e-182
-7.439756415832971,9.90051728151252e-180
-7.429752066115703,2.900365872034493e-177
-7.419747716398434,8.16349429941504e-175
-7.409743366681166,2.2076378145538815e-172
-7.399739016963897,5.735984842883058e-170
-7.389734667246629,1.4319129731590549e-167
-7.3797303175293605,3.4344225779831387e-165
-7.3697259678120925,7.914424430191513e-163
-7.359721618094824,1.7523201918945077e-160
-7.349717268377556,3.727658697799068e-158
-7.339712918660287,7.618814385463562e-156
-7.329708568943019,1.496122826175816e-153
-7.31970421922575,2.8227716122560875e-151
-7.309699869508482,5.116970397278201e-149
-7.2996955197912134,8.912073843320169e-147
-7.2896911700739455,1.4913287738579442e-144
-7.279686820356677,2.397710865724736e-142
-7.269682470639409,3.7038131247593107e-140
-7.25967812092214,5.497056663719025e-138
-7.249673771204872,7.838632602195671e-136
-7.239669421487603,1.0739385059552328e-133
-7.229665071770335,1.4136685411968182e-131
-7.219660722053066,1.7879069751923746e-129
-7.2096563723357985,2.1725584354156663e-127
-7.19965202261853,2.5364559269457127e-125
-7.189647672901262,2.8451984994367e-123
