# Units: Time [fs], Current Jm [1/fs*Angstrom^2], Electric field El_f[V/Angstrom], Energy En[eV]
time,El_f_pump_z,El_f_probe_x,Jm_both_z,Jm_pump_z,Jm_probe_z,Jm_both_y,Jm_pump_y,Jm_probe_y,Jm_both_x,Jm_pump_x,Jm_probe_x,En_both_z,En_pump_z,En_probe_z,En_both_x,En_pump_x,En_probe_x
0.002,0.0,-3.9025002262872e-07,-1.69789262697738e-10,-1.6978912990413302e-10,-1.69789262697738e-10,2.42310932492292e-10,2.42311082016837e-10,2.42310932492292e-10,2.78829755398987e-09,1.29985609946637e-10,2.78829755398987e-09,0.0,0.0,0.0,0.0,0.0,0.0
0.022,0.0,-6.67208539664262e-06,-2.06916989508948e-10,-2.06894303232132e-10,-2.06916989508948e-10,-3.07095144963877e-11,-3.0686830898278594e-11,-3.07095144963877e-11,2.6624955604211e-07,1.85915935235411e-10,2.6624955604211e-07,0.0,0.0,0.0,1.9817148284853562e-12,2.094507884262485e-15,1.9817148284853562e-12
0.042,0.0,-1.00055141237505e-05,-1.02208588296102e-10,-1.0222855247966601e-10,-1.02208588296102e-10,-1.26040465443327e-10,-1.26060409822025e-10,-1.26040465443327e-10,7.95586392358364e-07,2.9184394966188203e-10,7.95586392358364e-07,0.0,0.0,0.0,1.768838738175332e-11,9.059720000049826e-15,1.768838738175332e-11
0.062,0.0,-1.03902287571547e-05,-4.6504963395344495e-11,-4.6589488632824995e-11,-4.6504963395344495e-11,-1.30143805713571e-10,-1.30228333102799e-10,-1.30143805713571e-10,1.38013247485926e-06,2.9352220959726e-10,1.38013247485926e-06,0.0,0.0,0.0,5.5261222703694024e-11,1.7945434828861893e-14,5.5261222703694024e-11
0.082,0.0,-7.82618856938883e-06,1.66875248610091e-10,1.66740776641372e-10,1.66875248610091e-10,9.91776451356689e-11,9.904316469169659e-11,9.91776451356689e-11,1.82598526254501e-06,4.87641001535409e-10,1.82598526254501e-06,-0.0,-0.0,-0.0,1.0352067476288938e-10,2.975611048646775e-14,1.0352067476288938e-10
0.102,0.0,-2.31361955588098e-06,3.91693569637398e-10,3.91555304268288e-10,3.91693569637398e-10,2.40757825913342e-10,2.40619722188828e-10,2.40757825913342e-10,1.94763739677883e-06,4.75613721155793e-10,1.94763739677883e-06,-0.0,-0.0,-0.0,1.3445292244797088e-10,3.771636809697243e-14,1.3445292244797088e-10
0.122,0.0,6.1469855836461e-06,6.15924048505514e-10,6.157991589303651e-10,6.15924048505514e-10,3.82102632045985e-10,3.81977723719887e-10,3.82102632045985e-10,1.5763630217633e-06,6.46854524836574e-10,1.5763630217633e-06,-0.0,-0.0,-0.0,1.2334416671236363e-10,3.325991295466421e-14,1.2334416671236363e-10
0.142,0.0,1.75548674856199e-05,6.955898264375131e-10,6.95501749498055e-10,6.955898264375131e-10,4.94165333077844e-10,4.94077243798768e-10,4.94165333077844e-10,5.66026129175544e-07,4.71437502671512e-10,5.66026129175544e-07,-0.0,-0.0,-0.0,8.447196065981417e-11,1.44248246389616e-14,8.447196065981417e-11
0.162,0.0,3.19090001849905e-05,7.50376616886812e-10,7.50333236588562e-10,7.50376616886812e-10,5.33036015302232e-10,5.32992531500501e-10,5.33036015302232e-10,-1.2074857000381e-06,4.37476011491674e-10,-1.2074857000381e-06,-0.0,-0.0,-0.0,1.1901442102582913e-10,-2.8339387563530663e-14,1.1901442102582913e-10
0.182,0.0,4.92080911995455e-05,6.68627253014058e-10,6.68659798337788e-10,6.68627253014058e-10,3.65480369498032e-10,3.65512802974767e-10,3.65480369498032e-10,-3.84519287599283e-06,1.85551449071127e-10,-3.84519287599283e-06,-0.0,-0.0,-0.0,4.720490477943402e-10,-5.838824648301588e-14,4.720490477943402e-10
0.202,0.0,6.94505816362473e-05,5.417743131719441e-10,5.41962334513225e-10,5.417743131719441e-10,1.90938604771958e-10,1.91126434915039e-10,1.90938604771958e-10,-7.42403163874392e-06,2.2647936521482e-11,-7.42403163874392e-06,-0.0,-0.0,-0.0,1.5948575488183717e-09,-8.628990239679485e-14,1.5948575488183717e-09
0.222,0.0,9.26346463195461e-05,3.12010117333258e-10,3.12431191802794e-10,3.12010117333258e-10,-1.02774609927789e-10,-1.02353228504781e-10,-1.02774609927789e-10,-1.20043408176549e-05,-1.34622745543469e-10,-1.20043408176549e-05,-0.0,-0.0,-0.0,4.210619537831267e-09,-5.867759108481491e-14,4.210619537831267e-09
