folder,tau_x_drude,tau_z_coh,tau_z_norm_coh,tau_autocorr_iters_coh,tau_autocorr_1_e,tau_autocorr_1_e_3,spectrum_width,normalized_fid_spectrum_width
c333_s0.025_r18_k16_a1_i804_t9_p4d10_6d11_2eV,5.264174328183756,2.927633953434277,3.3673618454981975,3.8029644739421977,3.5060000000000002,5.216,1.309255203265421,1.019266310098227
c333_s0.050_r18_k16_a1_i804_t9_p4d10_6d11_2eV,5.953407350481809,2.505370027416584,3.8642023647432553,3.8784197932876467,2.992000000000001,3.622,1.5023259468375394,1.0701983387599556
c333_s0.075_r18_k16_a1_i804_t9_p4d10_6d11_2eV,3.4800784229518533,1.9389961073006117,4.46799245991028,3.0958766679390575,2.452,2.787333333333334,1.6727216539873002,1.0550347309492545
c333_s0.100_r18_k16_a1_i804_t9_p4d10_6d11_2eV,2.170884172000922,1.592275152670884,4.438269091462661,3.759883243944858,2.0340000000000007,2.3260000000000005,1.7039184807911567,1.0459499787649393
c333_s0.125_r18_k16_a1_i804_t9_p4d10_6d11_2eV,1.3679589160478638,0.9761317255880343,3.0744245470062763,5.403069434203282,0.684000000000001,1.252,1.8487376012282517,1.5167785140258943
c333_s0.150_r18_k16_a1_i804_t9_p4d10_6d11_2eV,1.0627188198745348,0.7585563393576049,2.5581016376564043,5.550354900197968,0.21199999999999974,1.1180000000000003,2.017459495348304,1.8653848732593221
c333_s0.175_r18_k16_a1_i804_t9_p4d10_6d11_2eV,0.6738230680700328,0.5471580328189535,0.5849741521403231,6.157441129997161,0.20199999999999996,1.6266666666666663,1.8196601153618954,1.928685194437129
c333_s0.200_r18_k16_a1_i804_t9_p4d10_6d11_2eV,0.4040250645355423,0.6380339520160357,0.7165007515609082,6.006876463033715,0.23000000000000043,1.661333333333334,1.778018453354525,1.8305587033666664
