# Real time calculation: 
# Eall: Total energy
# Eall0: Initial total energy
# 1:Time[fs] 2:Eall[eV] 3:Eall-Eall0[eV] 
      0.00000000 -0.233536195403634E+005  0.000000000000000E+000 
      0.02000000 -0.233536195477273E+005 -0.736389028551276E-005 
      0.04000000 -0.233536195477309E+005 -0.736745717900552E-005 
      0.06000000 -0.233536195477334E+005 -0.737001247304283E-005 
      0.08000000 -0.233536195477354E+005 -0.737197689400372E-005 
      0.10000000 -0.233536195477374E+005 -0.737400937364357E-005 
      0.12000000 -0.233536195477404E+005 -0.737698848763623E-005 
      0.14000000 -0.233536195477442E+005 -0.738081524153956E-005 
      0.16000000 -0.233536195477467E+005 -0.738324679252422E-005 
      0.18000000 -0.233536195477420E+005 -0.737860642804968E-005 
      0.20000000 -0.233536195477192E+005 -0.735577583483495E-005 
      0.22000000 -0.233536195476602E+005 -0.729677514732933E-005 
      0.24000000 -0.233536195475381E+005 -0.717471190661473E-005 
      0.26000000 -0.233536195473155E+005 -0.695207340627895E-005 
      0.28000000 -0.233536195469424E+005 -0.657903141259439E-005 
      0.30000000 -0.233536195463551E+005 -0.599173451039139E-005 
      0.32000000 -0.233536195454744E+005 -0.511095311663165E-005 
      0.34000000 -0.233536195442042E+005 -0.384081730127119E-005 
      0.36000000 -0.233536195424313E+005 -0.206790108867068E-005 
      0.38000000 -0.233536195400240E+005  0.339380789786247E-006 
      0.40000000 -0.233536195368321E+005  0.353126168075097E-005 
      0.42000000 -0.233536195326870E+005  0.767645286221248E-005 
      0.44000000 -0.233536195274015E+005  0.129619424610368E-004 
      0.46000000 -0.233536195207710E+005  0.195924045798907E-004 
      0.48000000 -0.233536195125741E+005  0.277893330958728E-004 
      0.50000000 -0.233536195025734E+005  0.377900114996006E-004 
      0.52000000 -0.233536194905173E+005  0.498461455344784E-004 
      0.54000000 -0.233536194761410E+005  0.642223999350996E-004 
      0.56000000 -0.233536194591686E+005  0.811948392647836E-004 
      0.58000000 -0.233536194393143E+005  0.101049090331244E-003 
      0.60000000 -0.233536194162848E+005  0.124078640719613E-003 
      0.62000000 -0.233536193897808E+005  0.150582648540412E-003 
      0.64000000 -0.233536193594996E+005  0.180863832610502E-003 
      0.66000000 -0.233536193251370E+005  0.215226452347750E-003 
      0.68000000 -0.233536192863894E+005  0.253974015430977E-003 
      0.70000000 -0.233536192429560E+005  0.297407430934899E-003 
      0.72000000 -0.233536191945405E+005  0.345822890230351E-003 
      0.74000000 -0.233536191408531E+005  0.399510348038311E-003 
      0.76000000 -0.233536190816117E+005  0.458751746717100E-003 
      0.78000000 -0.233536190165435E+005  0.523819939697821E-003 
      0.80000000 -0.233536189453857E+005  0.594977717007821E-003 
      0.82000000 -0.233536188678862E+005  0.672477195836152E-003 
      0.84000000 -0.233536187838041E+005  0.756559300812757E-003 
      0.86000000 -0.233536186929102E+005  0.847453256661950E-003 
      0.88000000 -0.233536185949867E+005  0.945376727413349E-003 
      0.90000000 -0.233536184898273E+005  0.105053611957236E-002 
      0.92000000 -0.233536183772365E+005  0.116312691003926E-002 
      0.94000000 -0.233536182570289E+005  0.128333449684268E-002 
      0.96000000 -0.233536181290281E+005  0.141133530663996E-002 
      0.98000000 -0.233536179930654E+005  0.154729800430543E-002 
      1.00000000 -0.233536178489783E+005  0.169138512324517E-002 
      1.02000000 -0.233536176966083E+005  0.184375510097024E-002 
      1.04000000 -0.233536175357993E+005  0.200456412596170E-002 
      1.06000000 -0.233536173663950E+005  0.217396836813913E-002 
      1.08000000 -0.233536171882371E+005  0.235212632069797E-002 
      1.10000000 -0.233536170011624E+005  0.253920097489359E-002 
      1.12000000 -0.233536168050014E+005  0.273536200101263E-002 
      1.14000000 -0.233536165995753E+005  0.294078815517540E-002 
      1.16000000 -0.233536163846942E+005  0.315566925613107E-002 
      1.18000000 -0.233536161601555E+005  0.338020789909903E-002 
      1.20000000 -0.233536159257421E+005  0.361462134903757E-002 
      1.22000000 -0.233536156812200E+005  0.385914340297678E-002 
      1.24000000 -0.233536154263375E+005  0.411402591824531E-002 
      1.26000000 -0.233536151608231E+005  0.437954026026406E-002 
      1.28000000 -0.233536148843850E+005  0.465597843788867E-002 
      1.30000000 -0.233536145967094E+005  0.494365396342378E-002 
      1.32000000 -0.233536142974610E+005  0.524290242493462E-002 
      1.34000000 -0.233536139862814E+005  0.555408198121920E-002 
      1.36000000 -0.233536136627901E+005  0.587757332777902E-002 
      1.38000000 -0.233536133265836E+005  0.621377979271989E-002 
      1.40000000 -0.233536129772366E+005  0.656312685415408E-002 
      1.42000000 -0.233536126143020E+005  0.692606143486484E-002 
      1.44000000 -0.233536122373121E+005  0.730305130833983E-002 
      1.46000000 -0.233536118457794E+005  0.769458403767438E-002 
      1.48000000 -0.233536114391978E+005  0.810116562986582E-002 
      1.50000000 -0.233536110170444E+005  0.852331901377396E-002 
      1.52000000 -0.233536105787813E+005  0.896158208498080E-002 
      1.54000000 -0.233536101238577E+005  0.941650570424667E-002 
      1.56000000 -0.233536096517122E+005  0.988865118552632E-002 
      1.58000000 -0.233536091617749E+005  0.103785885357239E-001 
      1.60000000 -0.233536086534693E+005  0.108868941530723E-001 
      1.62000000 -0.233536081262147E+005  0.114141486863781E-001 
      1.64000000 -0.233536075794289E+005  0.119609345137573E-001 
      1.66000000 -0.233536070125305E+005  0.125278329491354E-001 
      1.68000000 -0.233536064249416E+005  0.131154218230711E-001 
      1.70000000 -0.233536058160902E+005  0.137242732522877E-001 
      1.72000000 -0.233536051854124E+005  0.143549510348816E-001 
      1.74000000 -0.233536045323552E+005  0.150080082404267E-001 
      1.76000000 -0.233536038563787E+005  0.156839846887095E-001 
      1.78000000 -0.233536031569584E+005  0.163834050378989E-001 
      1.80000000 -0.233536024335870E+005  0.171067764272411E-001 
      1.82000000 -0.233536016857773E+005  0.178545861568776E-001 
      1.84000000 -0.233536009130633E+005  0.186273001596180E-001 
      1.86000000 -0.233536001150018E+005  0.194253615686147E-001 
      1.88000000 -0.233535992911739E+005  0.202491895356163E-001 
      1.90000000 -0.233535984411851E+005  0.210991783276436E-001 
      1.92000000 -0.233535975646662E+005  0.219756971877786E-001 
      1.94000000 -0.233535966612738E+005  0.228790895710511E-001 
      1.96000000 -0.233535957306905E+005  0.238096728783912E-001 
      1.98000000 -0.233535947726247E+005  0.247677386886473E-001 
      2.00000000 -0.233535937868101E+005  0.257535532783074E-001 
      2.02000000 -0.233535927730053E+005  0.267673581381258E-001 
      2.04000000 -0.233535917309926E+005  0.278093708362313E-001 
      2.06000000 -0.233535906605768E+005  0.288797865927574E-001 
      2.08000000 -0.233535895615836E+005  0.299787797956945E-001 
      2.10000000 -0.233535884338574E+005  0.311065060117150E-001 
      2.12000000 -0.233535872772592E+005  0.322631041857054E-001 
      2.14000000 -0.233535860916649E+005  0.334486985556907E-001 
      2.16000000 -0.233535848769625E+005  0.346634009111445E-001 
      2.18000000 -0.233535836330502E+005  0.359073131854066E-001 
      2.20000000 -0.233535823598334E+005  0.371805300171636E-001 
      2.22000000 -0.233535810572220E+005  0.384831413645211E-001 
      2.24000000 -0.233535797251285E+005  0.398152349458358E-001 
      2.26000000 -0.233535783634649E+005  0.411768985227740E-001 
      2.28000000 -0.233535769721410E+005  0.425682223937348E-001 
      2.30000000 -0.233535755510620E+005  0.439893013644581E-001 
      2.32000000 -0.233535741001266E+005  0.454402368114398E-001 
      2.34000000 -0.233535726192247E+005  0.469211386680078E-001 
      2.36000000 -0.233535711082367E+005  0.484321267545600E-001 
      2.38000000 -0.233535695670312E+005  0.499733322263579E-001 
      2.40000000 -0.233535679954646E+005  0.515448988233315E-001 
      2.42000000 -0.233535663933795E+005  0.531469839404566E-001 
      2.44000000 -0.233535647606041E+005  0.547797592774059E-001 
      2.46000000 -0.233535630969521E+005  0.564434113149598E-001 
      2.48000000 -0.233535614022225E+005  0.581381409344964E-001 
      2.50000000 -0.233535596762006E+005  0.598641628394927E-001 
      2.52000000 -0.233535579186583E+005  0.616217050667398E-001 
      2.54000000 -0.233535561293554E+005  0.634110080242403E-001 
      2.56000000 -0.233535543080404E+005  0.652323230496021E-001 
      2.58000000 -0.233535524544533E+005  0.670859100712944E-001 
      2.60000000 -0.233535505683273E+005  0.689720361144506E-001 
      2.62000000 -0.233535486493907E+005  0.708909727084511E-001 
      2.64000000 -0.233535466973701E+005  0.728429933316294E-001 
      2.66000000 -0.233535447119926E+005  0.748283708466974E-001 
      2.68000000 -0.233535426929894E+005  0.768473739709745E-001 
      2.70000000 -0.233535406400988E+005  0.789002646592226E-001 
      2.72000000 -0.233535385530686E+005  0.809872948368291E-001 
      2.74000000 -0.233535364316592E+005  0.831087042466775E-001 
      2.76000000 -0.233535342756457E+005  0.852647177268011E-001 
      2.78000000 -0.233535320848212E+005  0.874555422312683E-001 
      2.80000000 -0.233535298589994E+005  0.896813639748119E-001 
      2.82000000 -0.233535275980174E+005  0.919423459703423E-001 
      2.84000000 -0.233535253017380E+005  0.942386254612791E-001 
      2.86000000 -0.233535229700514E+005  0.965703119973469E-001 
      2.88000000 -0.233535206028775E+005  0.989374859496584E-001 
      2.90000000 -0.233535182001667E+005  0.101340196697879E+000 
      2.92000000 -0.233535157619020E+005  0.103778461380421E+000 
      2.94000000 -0.233535132880996E+005  0.106252263830255E+000 
      2.96000000 -0.233535107788096E+005  0.108761553844824E+000 
      2.98000000 -0.233535082341161E+005  0.111306247340724E+000 
      3.00000000 -0.233535056541374E+005  0.113886226056720E+000 
      3.02000000 -0.233535030390251E+005  0.116501338314765E+000 
      3.04000000 -0.233535003889640E+005  0.119151399378855E+000 
      3.06000000 -0.233534977041710E+005  0.121836192414040E+000 
      3.08000000 -0.233534949848932E+005  0.124555470218822E+000 
      3.10000000 -0.233534922314060E+005  0.127308957403040E+000 
      3.12000000 -0.233534894440110E+005  0.130096352454369E+000 
      3.14000000 -0.233534866230330E+005  0.132917330380245E+000 
      3.16000000 -0.233534837688179E+005  0.135771545513729E+000 
      3.18000000 -0.233534808817282E+005  0.138658635204152E+000 
      3.20000000 -0.233534779621405E+005  0.141578222898310E+000 
      3.22000000 -0.233534750104418E+005  0.144529921599088E+000 
      3.24000000 -0.233534720270261E+005  0.147513337320979E+000 
      3.26000000 -0.233534690122909E+005  0.150528072548708E+000 
      3.28000000 -0.233534659666335E+005  0.153573729872180E+000 
      3.30000000 -0.233534628904480E+005  0.156649915370856E+000 
      3.32000000 -0.233534597841213E+005  0.159756242158987E+000 
      3.34000000 -0.233534566480304E+005  0.162892332968754E+000 
