# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,3.739556318544569e-12,
0.004,-6.092813419329669e-12,
0.006,-2.1093881464556897e-11,
0.008,-3.32468216829787e-11,
0.01,-3.48174235364045e-11,
0.012,-2.72079132585525e-11,
0.014,-1.9933007621117398e-11,
0.016,-2.18358682670035e-11,
0.018,-3.3418886436807104e-11,
0.02,-4.7236752553857296e-11,
0.022,-5.527116906878711e-11,
0.024,-5.56801627422377e-11,
0.026,-5.2624908909101205e-11,
0.028,-5.0342287860646394e-11,
0.03,-4.8263586794979704e-11,
0.032,-4.18109768216041e-11,
0.034,-2.7311103004149103e-11,
0.036,-5.9841775127609406e-12,
0.038,1.65438675419709e-11,
0.04,3.44944539532791e-11,
0.042,4.5969954273352105e-11,
0.044,5.32922602472304e-11,
0.046,5.978864660642471e-11,
0.048,6.622858547931861e-11,
0.05,6.99645699120642e-11,
0.052,6.71754751564718e-11,
0.054,5.60128761016769e-11,
0.056,3.7928679829418206e-11,
0.058,1.62509595698491e-11,
0.06,-6.4591218401108796e-12,
0.062,-2.98094896127043e-11,
0.064,-5.466483778441279e-11,
0.066,-8.110607827234679e-11,
0.068,-1.07377172448576e-10,
0.07,-1.3075717900307399e-10,
0.072,-1.4935626909044799e-10,
0.074,-1.63099612473319e-10,
0.076,-1.7315551932316399e-10,
0.078,-1.8052895269887798e-10,
0.08,-1.85052441866513e-10,
0.082,-1.85421742401366e-10,
0.084,-1.80088596902997e-10,
0.086,-1.68377531956254e-10,
0.088,-1.5115491610988498e-10,
0.09,-1.3061979366158201e-10,
0.092,-1.09298502413153e-10,
0.094,-8.8905635140335e-11,
0.096,-6.98902353639631e-11,
0.098,-5.1963551632425495e-11,
0.1,-3.5104074992339603e-11,
0.102,-2.01639078268689e-11,
0.104,-8.572536196357809e-12,
0.106,-1.42070688527576e-12,
0.108,1.2509747794126e-12,
0.11,3.1428545905485603e-13,
0.112,-3.28453460031595e-12,
0.114,-9.22035260436441e-12,
0.116,-1.76294491418258e-11,
0.118,-2.8266688990480804e-11,
0.12,-3.9886308934407e-11,
0.122,-5.0547323067056e-11,
0.124,-5.862511540759189e-11,
0.126,-6.365291908840249e-11,
0.128,-6.6339055891939e-11,
0.13,-6.78683211135037e-11,
0.132,-6.910790835335429e-11,
0.134,-7.02256409751751e-11,
0.136,-7.07737120936985e-11,
0.138,-6.998174650010329e-11,
0.14,-6.70327426409326e-11,
0.142,-6.129526399639231e-11,
0.144,-5.25855315098741e-11,
0.146,-4.14249434988179e-11,
0.148,-2.9069988848758897e-11,
0.15,-1.7071444037649503e-11,
0.152,-6.41020221002788e-12,
0.154,3.29393851100556e-12,
0.156,1.3807526340631201e-11,
0.158,2.72417329181713e-11,
0.16,4.4483112035135e-11,
0.162,6.42572571675675e-11,
0.164,8.37097697250736e-11,
0.166,1.00240508219892e-10,
0.168,1.13210393151788e-10,
0.17,1.2411943494095e-10,
0.172,1.35101612928476e-10,
0.174,1.47054334499602e-10,
0.176,1.5904746365479602e-10,
0.178,1.6947500250017501e-10,
0.18,1.77799021869416e-10,
0.182,1.85215328137401e-10,
