# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,4.2007184763080204e-11,
0.004,5.31012083466589e-11,
0.006,6.03942352140026e-11,
0.008,6.79661769273307e-11,
0.01,7.814169692736759e-11,
0.012,8.737302859694171e-11,
0.014,9.21693673316091e-11,
0.016,9.216516420777821e-11,
0.018,8.83098251078655e-11,
0.02,8.05959375438388e-11,
0.022,6.92658464230248e-11,
0.024,5.5938702565496704e-11,
0.026,4.2327569711119796e-11,
0.028,2.87274697595716e-11,
0.03,1.46050566153778e-11,
0.032,1.9739497461228198e-13,
0.034,-1.30128875763745e-11,
0.036,-2.3293858453213397e-11,
0.038,-2.98848121076246e-11,
0.04,-3.32528347897625e-11,
0.042,-3.42850078939474e-11,
0.044,-3.33849696053442e-11,
0.046,-3.04649112195098e-11,
0.048,-2.5675480949841197e-11,
0.05,-1.9822859473048302e-11,
0.052,-1.3992171948376e-11,
0.054,-9.00696645168625e-12,
0.056,-5.35906862906768e-12,
0.058,-3.3584519174415095e-12,
0.06,-3.03036078969272e-12,
0.062,-3.97762385940744e-12,
0.064,-5.692659368320611e-12,
0.066,-8.100815363510469e-12,
0.068,-1.1620731683764999e-11,
0.07,-1.6630030170402198e-11,
0.072,-2.3033274696833398e-11,
0.074,-3.04198529089458e-11,
0.076,-3.8455627448620705e-11,
0.078,-4.69615229548597e-11,
0.08,-5.5737978119122004e-11,
0.082,-6.45263401505533e-11,
0.084,-7.310814230500441e-11,
0.086,-8.1235462584444e-11,
0.088,-8.84355213820461e-11,
0.09,-9.409499799521291e-11,
0.092,-9.78830621581054e-11,
0.094,-1.00003589953294e-10,
0.096,-1.0091260035868299e-10,
0.098,-1.00841438889445e-10,
0.1,-9.97040930776212e-11,
0.102,-9.742582273072291e-11,
0.104,-9.42254751807245e-11,
0.106,-9.05639976506253e-11,
0.108,-8.69402385918031e-11,
0.11,-8.3791092286175e-11,
0.112,-8.147761371082229e-11,
0.114,-8.02264252528892e-11,
0.116,-8.00649139377361e-11,
0.118,-8.087898791655679e-11,
0.12,-8.25555968582514e-11,
0.122,-8.5020242470419e-11,
0.124,-8.81030721167674e-11,
0.126,-9.14154660959067e-11,
0.128,-9.445589179122629e-11,
0.13,-9.69242201261833e-11,
0.132,-9.89769576609803e-11,
0.134,-1.01168115311854e-10,
0.136,-1.04079787988407e-10,
0.138,-1.07912211987798e-10,
0.14,-1.12344162428774e-10,
0.142,-1.1675165335397e-10,
0.144,-1.2056918012214402e-10,
0.146,-1.23469784566862e-10,
0.148,-1.25251628475395e-10,
0.15,-1.25649516063808e-10,
0.152,-1.24368428675495e-10,
0.154,-1.2134008498631299e-10,
0.156,-1.1687091817141698e-10,
0.158,-1.11421644785744e-10,
0.16,-1.05200136856333e-10,
0.162,-9.80223670379243e-11,
0.164,-8.961657133104142e-11,
0.166,-8.00277171751389e-11,
0.168,-6.96766767461433e-11,
0.17,-5.908087020025751e-11,
0.172,-4.8657875564145796e-11,
0.174,-3.88593572953325e-11,
0.176,-3.0360237466992796e-11,
0.178,-2.38856387898319e-11,
0.18,-1.9726083088681898e-11,
0.182,-1.7467433234393698e-11,
0.184,-1.62944931480387e-11,
0.186,-1.55832850401115e-11,
0.188,-1.51645830689834e-11,
0.19,-1.50307847324532e-11,
0.192,-1.48975928636408e-11,
0.194,-1.4166594328665e-11,
0.196,-1.23374195641753e-11,
0.198,-9.392608982513721e-12,
0.2,-5.71531875072343e-12,
0.202,-1.6199986771855701e-12,
0.204,3.0164368805631202e-12,
0.206,8.66014131907012e-12,
0.208,1.5683522892901597e-11,
0.21,2.40256112353083e-11,
0.212,3.3239079253712105e-11,
