# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,1.86939918976324e-10,
0.004,2.6523172464794697e-10,
0.006,3.82350108959042e-10,
0.008,5.21538968413029e-10,
0.01,6.57893461938801e-10,
0.012,7.74008733863625e-10,
0.014,8.664199381175781e-10,
0.016,9.4371915322408e-10,
0.018,1.0141505636315999e-09,
0.02,1.07826994215923e-09,
0.022,1.13282114302614e-09,
0.024,1.1767721353256699e-09,
0.026,1.21245005323248e-09,
0.028,1.2436297475456698e-09,
0.03,1.27388862241521e-09,
0.032,1.30527013742788e-09,
0.034,1.33710494480701e-09,
0.036,1.36628695185684e-09,
0.038,1.3895979621082599e-09,
0.04,1.4061757026302698e-09,
0.042,1.41794723712477e-09,
0.044,1.42800837651236e-09,
0.046,1.4383581982093802e-09,
0.048,1.44843982471553e-09,
0.05,1.4554351473395497e-09,
0.052,1.4561980386802e-09,
0.054,1.4494062154055301e-09,
0.056,1.43619492917052e-09,
0.058,1.41878774984391e-09,
0.06,1.39841942944167e-09,
0.062,1.3744348533982998e-09,
0.064,1.34523671867508e-09,
0.066,1.31000239342779e-09,
0.068,1.26958460390019e-09,
0.07,1.2260471646903598e-09,
0.072,1.1815118890313e-09,
0.074,1.1372168806113199e-09,
0.076,1.09315650076687e-09,
0.078,1.0482831469439698e-09,
0.08,1.00119482289386e-09,
0.082,9.51076997009836e-10,
0.084,8.98358769551379e-10,
0.086,8.44555697057792e-10,
0.088,7.91306459502243e-10,
0.09,7.39237173934846e-10,
0.092,6.87470481174572e-10,
0.094,6.342040425371601e-10,
0.096,5.78044269003875e-10,
0.098,5.191252172576541e-10,
0.1,4.59021576614814e-10,
0.102,3.99361945657543e-10,
0.104,3.4030182664723803e-10,
0.106,2.80384555395053e-10,
0.108,2.1813424350877501e-10,
0.11,1.53931820270056e-10,
0.112,9.019843122029291e-11,
0.114,2.94436150220992e-11,
0.116,-2.80656736726343e-11,
0.118,-8.46902275398801e-11,
0.12,-1.4333024935818e-10,
0.122,-2.04766967796719e-10,
0.124,-2.66944732738366e-10,
0.126,-3.2685893848283596e-10,
0.128,-3.83252086429824e-10,
0.13,-4.37630322848659e-10,
0.132,-4.927635077784139e-10,
0.134,-5.501387758250811e-10,
0.136,-6.08638903298396e-10,
0.138,-6.654347752579551e-10,
0.14,-7.180829192128599e-10,
0.142,-7.65948129928666e-10,
0.144,-8.09933271432207e-10,
0.146,-8.51090276261735e-10,
0.148,-8.89519530553631e-10,
0.15,-9.24446466800667e-10,
0.152,-9.55173660067024e-10,
0.154,-9.81889527817335e-10,
