# Real time calculation: 
# Eall: Total energy
# Eall0: Initial total energy
# Tion: Kinetic energy of ions
# Temperature_ion: Temperature of ions
# E_work: Work energy of ions(sum f*dr)
# 1:Time[fs] 2:Eall[eV] 3:Eall-Eall0[eV] # 4:Tion[eV] 5:Temperature_ion[K] 6:E_work[eV] 
      0.00000000 -0.691462068990012E+004  0.000000000000000E+000   0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000 
      0.02000000 -0.691462071240434E+004 -0.225042224601472E-004   0.229125621415107E-004  0.276968064900686E-002 -0.229125634889253E-004 
      0.04000000 -0.691462077990695E+004 -0.900068349441666E-004   0.916513636126333E-004  0.110788573833526E-001 -0.916513683922462E-004 
      0.06000000 -0.691462089240788E+004 -0.202507760886044E-003   0.206216199984160E-003  0.249275054915442E-001 -0.206216209334677E-003 
      0.08000000 -0.691462104990300E+004 -0.360002885829280E-003   0.366605546811857E-003  0.443154406980882E-001 -0.366605561270991E-003 
      0.10000000 -0.691462125238772E+004 -0.562487608079102E-003   0.572817630657877E-003  0.692424486290328E-001 -0.572817650293305E-003 
      0.12000000 -0.691462149985705E+004 -0.809956932283155E-003   0.824851044727549E-003  0.997083592304160E-001 -0.824851069444736E-003 
      0.14000000 -0.691462179230509E+004 -0.110240497059231E-002   0.112270461530032E-002  0.135713030622378E+000 -0.112270464500165E-002 
      0.16000000 -0.691462212972442E+004 -0.143982430770415E-002   0.146637697210378E-002  0.177256297165784E+000 -0.146637700687443E-002 
      0.18000000 -0.691462251210526E+004 -0.182220514471568E-002   0.185586591048127E-002  0.224337892360760E+000 -0.185586595071650E-002 
      0.20000000 -0.691462293943480E+004 -0.224953468040810E-002   0.229116774580417E-002  0.276957370807770E+000 -0.229116779214429E-002 
      0.22000000 -0.691462341169711E+004 -0.272179699755788E-002   0.277227713503863E-002  0.335114086638518E+000 -0.277227718822591E-002 
      0.24000000 -0.691462392887359E+004 -0.323897347670256E-002   0.329918755310833E-002  0.398807251098891E+000 -0.329918761384020E-002 
      0.26000000 -0.691462449094339E+004 -0.380104327873868E-002   0.387189203217670E-002  0.468036021913723E+000 -0.387189210087735E-002 
      0.28000000 -0.691462509788361E+004 -0.440798349341343E-002   0.449038366304641E-002  0.542799563896181E+000 -0.449038374008856E-002 
