# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,-3.18132981102287e-11,
0.004,-6.56607892961486e-11,
0.006,-1.00639989390116e-10,
0.008,-1.1305136611860599e-10,
0.01,-1.00679553166847e-10,
0.012,-8.17181991354097e-11,
0.014,-7.322563555218949e-11,
0.016,-7.529788033876341e-11,
0.018,-7.65854339598345e-11,
0.02,-6.80318795788285e-11,
0.022,-5.08284139696833e-11,
0.024,-3.3612104385058e-11,
0.026,-2.4002885726088e-11,
0.028,-2.26060744424208e-11,
0.03,-2.4496283124234698e-11,
0.032,-2.56486053964992e-11,
0.034,-2.73870576478942e-11,
0.036,-3.48134698169456e-11,
0.038,-5.14678332834967e-11,
0.04,-7.571181391220441e-11,
0.042,-1.02224870911632e-10,
0.044,-1.26750825079357e-10,
0.046,-1.4886582964188e-10,
0.048,-1.70013299808989e-10,
0.05,-1.8981986089677798e-10,
0.052,-2.05488815305908e-10,
0.054,-2.1462260075967898e-10,
0.056,-2.17440614738255e-10,
0.058,-2.1574539960196e-10,
0.06,-2.10463840909367e-10,
0.062,-2.00970700183963e-10,
0.064,-1.86731964343622e-10,
0.066,-1.69135293662486e-10,
0.068,-1.51481695796693e-10,
0.07,-1.3710820609722998e-10,
0.072,-1.2734925575250698e-10,
0.074,-1.21149682266394e-10,
0.076,-1.16506980381918e-10,
0.078,-1.1206071138850001e-10,
0.08,-1.07229316934397e-10,
0.082,-1.01390926778855e-10,
0.084,-9.395581442325e-11,
0.086,-8.57196552084925e-11,
0.088,-7.95137972903902e-11,
0.09,-7.84459335140035e-11,
0.092,-8.30410839354713e-11,
0.094,-9.04320301086657e-11,
0.096,-9.67428981741376e-11,
0.098,-1.00290939857271e-10,
0.1,-1.02472198805959e-10,
0.102,-1.05857509368523e-10,
0.104,-1.1168832275501598e-10,
0.106,-1.18868354254358e-10,
0.108,-1.24670876207897e-10,
0.11,-1.26206155772322e-10,
0.112,-1.21800522786579e-10,
0.114,-1.1171759564538901e-10,
0.116,-9.77409346465098e-11,
0.118,-8.17558336120642e-11,
0.12,-6.450459901003729e-11,
0.122,-4.5751171503582795e-11,
