# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,8.06934734676817e-11,
0.004,8.23901862500209e-11,
0.006,7.88653405429283e-11,
0.008,6.904673147082009e-11,
0.01,5.57617513524514e-11,
0.012,4.43817833809843e-11,
0.014,3.7086983154321e-11,
0.016,3.27511353321563e-11,
0.018,2.92678981025833e-11,
0.02,2.54962118144002e-11,
0.022,2.0292537303084498e-11,
0.024,1.1821165333483098e-11,
0.026,-8.959505101876999e-13,
0.028,-1.6476824753050098e-11,
0.03,-3.23369832529924e-11,
0.032,-4.7007997896439096e-11,
0.034,-6.05929056207079e-11,
0.036,-7.326239847485199e-11,
0.038,-8.42853968568218e-11,
0.04,-9.272267014865169e-11,
0.042,-9.83801785123348e-11,
0.044,-1.01756673490884e-10,
0.046,-1.03515671268689e-10,
0.048,-1.04352008818834e-10,
0.05,-1.0503968720042e-10,
0.052,-1.06126277916523e-10,
0.054,-1.0754785001276899e-10,
0.056,-1.0880877917309001e-10,
0.058,-1.09650869980804e-10,
0.06,-1.1046100386302499e-10,
0.062,-1.1202605311957e-10,
0.064,-1.15042031243507e-10,
0.066,-1.1987753291820098e-10,
0.068,-1.2651758547926701e-10,
0.07,-1.3439443749274098e-10,
0.072,-1.42267725661415e-10,
0.074,-1.4861032435612498e-10,
0.076,-1.52488990095079e-10,
0.078,-1.54280997082956e-10,
0.08,-1.55595920209635e-10,
0.082,-1.58425826326558e-10,
0.084,-1.64099662077748e-10,
0.086,-1.72643386641787e-10,
0.088,-1.82816054175074e-10,
0.09,-1.92726954591292e-10,
0.092,-2.0070049086243e-10,
0.094,-2.05986406576832e-10,
0.096,-2.09009626428143e-10,
0.098,-2.1105838243827498e-10,
0.1,-2.13544581740021e-10,
0.102,-2.17175923497805e-10,
0.104,-2.21472530660032e-10,
0.106,-2.24938786956146e-10,
0.108,-2.25862496622157e-10,
0.11,-2.23340324754553e-10,
0.112,-2.1796998926273002e-10,
0.114,-2.11810725245518e-10,
0.116,-2.0758648581640698e-10,
0.118,-2.07482029200171e-10,
0.12,-2.12093983776701e-10,
0.122,-2.20065973674375e-10,
0.124,-2.28645691183262e-10,
0.126,-2.34937503568078e-10,
0.128,-2.3721470372030503e-10,
0.13,-2.3558552558433e-10,
0.132,-2.3168064678002102e-10,
0.134,-2.2761744871318898e-10,
0.136,-2.2488783970589297e-10,
0.138,-2.2376773657314497e-10,
0.14,-2.2346133923769299e-10,
0.142,-2.2277890925466502e-10,
0.144,-2.2093524836485103e-10,
0.146,-2.1807971819559602e-10,
0.148,-2.1533607091611e-10,
0.15,-2.14346192594666e-10,
0.152,-2.1651565007444098e-10,
0.154,-2.22298029888494e-10,
0.156,-2.3086689766476402e-10,
0.158,-2.4036908108039203e-10,
0.16,-2.4866999943351e-10,
0.162,-2.54230654850925e-10,
0.164,-2.56669578604614e-10,
