# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,2.73594020459713e-11,
0.004,5.404093898667471e-11,
0.006,-1.25081014318652e-11,
0.008,-1.66667113292342e-10,
0.01,-3.32873291634619e-10,
0.012,-4.27747261503835e-10,
0.014,-4.22332493663387e-10,
0.016,-3.46244575420953e-10,
0.018,-2.50024090912929e-10,
0.02,-1.73918996801331e-10,
0.022,-1.3792982331165698e-10,
0.024,-1.4132198444206602e-10,
0.026,-1.64971035622157e-10,
0.028,-1.80612688122776e-10,
0.03,-1.66023761870884e-10,
0.032,-1.16638549796783e-10,
0.034,-4.5748246739393504e-11,
0.036,2.5331054666823e-11,
0.038,7.88782419308895e-11,
0.04,1.0709063442864399e-10,
0.042,1.1209963152089801e-10,
0.044,1.02467750890271e-10,
0.046,8.8393325439852e-11,
0.048,7.68952649389874e-11,
0.05,6.90488215225903e-11,
0.052,6.11358136331761e-11,
0.054,4.87398027095754e-11,
0.056,3.03974829895386e-11,
0.058,8.306512228435018e-12,
0.06,-1.3618612643498901e-11,
0.062,-3.2363593437064004e-11,
0.064,-4.73180622955486e-11,
0.066,-5.99423706813004e-11,
0.068,-7.203061372780699e-11,
0.07,-8.38840927476155e-11,
0.072,-9.37866105252247e-11,
0.074,-9.919145387178321e-11,
0.076,-9.86683699076329e-11,
0.078,-9.3101954567597e-11,
0.08,-8.53499325959449e-11,
0.082,-7.87785278295576e-11,
0.084,-7.56801428065356e-11,
0.086,-7.633756420228191e-11,
0.088,-7.903311114568091e-11,
0.09,-8.09791377574772e-11,
0.092,-7.981193145073421e-11,
0.094,-7.49264471335383e-11,
0.096,-6.789027912031541e-11,
0.098,-6.16518471885066e-11,
0.1,-5.89685892224273e-11,
0.102,-6.09553815323013e-11,
0.104,-6.65667489714375e-11,
0.106,-7.321320966968529e-11,
0.108,-7.80544488647483e-11,
0.11,-7.93231420596445e-11,
0.112,-7.72158092302452e-11,
0.114,-7.39630183778377e-11,
0.116,-7.27407482320955e-11,
0.118,-7.56953432244455e-11,
0.12,-8.234570183657e-11,
0.122,-8.97637805368181e-11,
0.124,-9.45913905032892e-11,
0.126,-9.53283896769445e-11,
0.128,-9.313963708857709e-11,
0.13,-9.078096555819399e-11,
0.132,-9.06600192479026e-11,
0.134,-9.33618887725021e-11,
0.136,-9.73777120311142e-11,
0.138,-1.0003247353174701e-10,
0.14,-9.90556164098173e-11,
0.142,-9.390511027663429e-11,
0.144,-8.60303295428386e-11,
0.146,-7.7899434573659e-11,
0.148,-7.1473696702371e-11,
0.15,-6.718098603903811e-11,
0.152,-6.398678199209149e-11,
0.154,-6.03034342556164e-11,
0.156,-5.49698832820061e-11,
0.158,-4.77159662587161e-11,
0.16,-3.9068190215388205e-11,
0.162,-2.99966719575867e-11,
0.164,-2.1546120726734302e-11,
0.166,-1.4500718561607402e-11,
0.168,-9.105672581766462e-12,
0.17,-4.97479232337424e-12,
0.172,-1.30118547795105e-12,
0.174,2.72048831741754e-12,
0.176,7.5383458908235e-12,
0.178,1.3172474135657801e-11,
0.18,1.9402552405083602e-11,
0.182,2.60111539861133e-11,
0.184,3.2906437202851496e-11,
0.186,4.00837605115453e-11,
0.188,4.74900793205761e-11,
0.19,5.49002746333446e-11,
0.192,6.192476731596549e-11,
0.194,6.82097723305419e-11,
0.196,7.37370988723458e-11,
0.198,7.898314139740458e-11,
0.2,8.473241798153571e-11,
