# Units: Time [fs], Current Jm [1/fs*Angstrom^2]
time,delta_Jm_x,delta_Jm_x_drude_fit
0.002,5.98255420006619e-12,
0.004,-1.0440370503198099e-11,
0.006,-3.10540459223144e-11,
0.008,-5.01131860268646e-11,
0.01,-6.45000712056142e-11,
0.012,-7.628264238761109e-11,
0.014,-8.780961858701609e-11,
0.016,-9.7397396109267e-11,
0.018,-1.01906709435138e-10,
0.02,-1.02304717004251e-10,
0.022,-1.03309224643113e-10,
0.024,-1.08119959704617e-10,
0.026,-1.1589302004247601e-10,
0.028,-1.24162388200123e-10,
0.03,-1.31656602226724e-10,
0.032,-1.38295362310858e-10,
0.034,-1.43863788823933e-10,
0.036,-1.4783580509083198e-10,
0.038,-1.50321846829472e-10,
0.04,-1.52442781517324e-10,
0.042,-1.5538653386335002e-10,
0.044,-1.5920906355919702e-10,
0.046,-1.6276710071057e-10,
0.048,-1.64838900844796e-10,
0.05,-1.65217197750362e-10,
0.052,-1.64708180005919e-10,
0.054,-1.64180752119114e-10,
0.056,-1.63718600266785e-10,
0.058,-1.62688740843303e-10,
0.06,-1.60529875451538e-10,
0.062,-1.57358094000357e-10,
0.064,-1.53772255203045e-10,
0.066,-1.5015074687856502e-10,
0.068,-1.46254928432236e-10,
0.07,-1.41542962001536e-10,
0.072,-1.35772324447539e-10,
0.074,-1.29188283757606e-10,
0.076,-1.2212018841966e-10,
0.078,-1.14467719199124e-10,
0.08,-1.05634160632921e-10,
0.082,-9.49769329932749e-11,
0.084,-8.236704648697929e-11,
0.086,-6.8391243584314e-11,
0.088,-5.404617548881329e-11,
0.09,-4.01673553944067e-11,
0.092,-2.7025906452861602e-11,
0.094,-1.4377908151813801e-11,
0.096,-1.8701219266682e-12,
0.098,1.05816263933054e-11,
0.1,2.27449820725967e-11,
0.102,3.43050673472627e-11,
0.104,4.50953080817122e-11,
0.106,5.51539726547012e-11,
0.108,6.46850976809279e-11,
0.11,7.40359768146358e-11,
0.112,8.36293162905385e-11,
0.114,9.375452778101129e-11,
0.116,1.0435777090133599e-10,
0.118,1.1511544214107499e-10,
0.12,1.25797534988057e-10,
0.122,1.36506610252038e-10,
0.124,1.47432712708886e-10,
0.126,1.5835787845914698e-10,
0.128,1.68553961439476e-10,
0.13,1.77333213451131e-10,
0.132,1.84715828925308e-10,
0.134,1.9145380977654598e-10,
0.136,1.98333703812732e-10,
0.138,2.05489821242513e-10,
0.14,2.1244092805810599e-10,
0.142,2.18751911503962e-10,
0.144,2.24563332272536e-10,
0.146,2.30433689626014e-10,
0.148,2.36703871026649e-10,
0.15,2.4306566734583603e-10,
0.152,2.48759514417376e-10,
0.154,2.53187055122778e-10,
0.156,2.56351955920672e-10,
0.158,2.58744241613839e-10,
0.16,2.60820834855076e-10,
0.162,2.62602733153396e-10,
0.164,2.6377444733690203e-10,
0.166,2.6416138831360696e-10,
0.168,2.64071948518949e-10,
0.17,2.64126295918493e-10,
0.172,2.6472975280959096e-10,
0.174,2.65722407860476e-10,
0.176,2.66547133472832e-10,
0.178,2.6673973868678396e-10,
0.18,2.66245024164186e-10,
0.182,2.65295089777924e-10,
0.184,2.6404960231919095e-10,
0.186,2.62387747840299e-10,
0.188,2.60019157713411e-10,
0.19,2.56750357906212e-10,
0.192,2.5264235297921903e-10,
0.194,2.4794915391199e-10,
0.196,2.42925171485569e-10,
0.198,2.37664573891417e-10,
0.2,2.3208667571441899e-10,
0.202,2.2607635939845299e-10,
0.204,2.1967690607024598e-10,
0.206,2.1316619271019303e-10,
0.208,2.06900449282151e-10,
0.21,2.00994922424369e-10,
0.212,1.95097778053938e-10,
0.214,1.88505482828418e-10,
0.216,1.80609634380554e-10,
0.218,1.71354622829857e-10,
0.22,1.61323033512938e-10,
0.222,1.5135444731672098e-10,
0.224,1.42002927216574e-10,
0.226,1.33271235364374e-10,
0.228,1.24789668730433e-10,
0.23,1.16200925475321e-10,
0.232,1.0737390556129699e-10,
0.234,9.83154159585006e-11,
0.236,8.89886761383177e-11,
0.238,7.931066685770471e-11,
0.24,6.93459621753991e-11,
0.242,5.94530577916602e-11,
0.244,5.0167001775448505e-11,
0.246,4.18762136570175e-11,
0.248,3.4568704916614396e-11,
0.25,2.78660997748213e-11,
0.252,2.1312416191264198e-11,
0.254,1.4686146135477403e-11,
0.256,8.114195384526611e-12,
0.258,1.93479758598038e-12,
0.26,-3.5705770667752602e-12,
0.262,-8.390402177294749e-12,
0.264,-1.28104361625671e-11,
0.266,-1.72466555622503e-11,
0.268,-2.19895645797731e-11,
0.27,-2.7011224933998e-11,
0.272,-3.19441789559016e-11,
0.274,-3.62432467178595e-11,
0.276,-3.94438999665502e-11,
0.278,-4.1380989030217004e-11,
0.28,-4.22505760885039e-11,
0.282,-4.24838178045609e-11,
0.284,-4.25186234088809e-11,
0.286,-4.2626008919589704e-11,
0.288,-4.29024608034749e-11,
0.29,-4.33938568155404e-11,
0.292,-4.41955523178143e-11,
0.294,-4.5404552428102205e-11,
0.296,-4.69678209975103e-11,
0.298,-4.8606183705728e-11,
0.3,-4.99406036962659e-11,
0.302,-5.07438296607774e-11,
0.304,-5.10933842819583e-11,
0.306,-5.12750550473552e-11,
0.308,-5.1517377402799e-11,
0.31,-5.17964738519429e-11,
0.312,-5.18782254501728e-11,
0.314,-5.15367196644417e-11,
0.316,-5.0731937155674004e-11,
0.318,-4.95909356423348e-11,
0.32,-4.8238468828789105e-11,
0.322,-4.66596143028357e-11,
0.324,-4.47245738880828e-11,
0.326,-4.2336063813702294e-11,
0.328,-3.95479829918023e-11,
0.33,-3.65485897739335e-11,
0.332,-3.35370109114525e-11,
0.334,-3.06069313648864e-11,
0.336,-2.77186800091766e-11,
0.338,-2.47508248797393e-11,
0.34,-2.1574819005997802e-11,
0.342,-1.81168118766725e-11,
0.344,-1.4401442566298999e-11,
0.346,-1.05647544110071e-11,
0.348,-6.806086115859769e-12,
0.35,-3.28032987771821e-12,
0.352,-2.23289743870745e-15,
0.354,3.1436894680488903e-12,
0.356,6.27783840240684e-12,
0.358,9.39680019447461e-12,
0.36,1.23760938841406e-11,
0.362,1.51151729199982e-11,
0.364,1.76821514119324e-11,
0.366,2.03007074789187e-11,
0.368,2.3175530362682803e-11,
0.37,2.63212457390985e-11,
0.372,2.95639478962939e-11,
0.374,3.27150664540152e-11,
0.376,3.5746911363664205e-11,
0.378,3.88011969068441e-11,
0.38,4.2029708687808604e-11,
0.382,4.54275237863494e-11,
0.384,4.88163335884066e-11,
0.386,5.198243291087871e-11,
0.388,5.482833944147e-11,
0.39,5.73963477230252e-11,
0.392,5.97545536650221e-11,
0.394,6.18668375418663e-11,
0.396,6.35774609536493e-11,
