# Real time calculation: 
# Eall: Total energy
# Eall0: Initial total energy
# 1:Time[fs] 2:Eall[eV] 3:Eall-Eall0[eV] 
      0.00000000 -0.233073109496169E+005  0.000000000000000E+000 
      0.02000000 -0.233073109498390E+005 -0.222050720835671E-006 
      0.04000000 -0.233073109498526E+005 -0.235646988746072E-006 
      0.06000000 -0.233073109498613E+005 -0.244432745484534E-006 
      0.08000000 -0.233073109498672E+005 -0.250341476248781E-006 
      0.10000000 -0.233073109498719E+005 -0.254991121452269E-006 
      0.12000000 -0.233073109498766E+005 -0.259671702418922E-006 
      0.14000000 -0.233073109498814E+005 -0.264494587896127E-006 
      0.16000000 -0.233073109498844E+005 -0.267520105533526E-006 
      0.18000000 -0.233073109498801E+005 -0.263151975774827E-006 
      0.20000000 -0.233073109498574E+005 -0.240506997139073E-006 
      0.22000000 -0.233073109497986E+005 -0.181735234280870E-006 
      0.24000000 -0.233073109496770E+005 -0.601112814031865E-007 
      0.26000000 -0.233073109494552E+005  0.161661017564012E-006 
      0.28000000 -0.233073109490836E+005  0.533332556940422E-006 
      0.30000000 -0.233073109484981E+005  0.111883518487994E-005 
      0.32000000 -0.233073109476193E+005  0.199765215767878E-005 
      0.34000000 -0.233073109463505E+005  0.326637730223898E-005 
      0.36000000 -0.233073109445771E+005  0.503984107784749E-005 
      0.38000000 -0.233073109421649E+005  0.745197987112110E-005 
      0.40000000 -0.233073109389605E+005  0.106563804654381E-004 
      0.42000000 -0.233073109347901E+005  0.148267997617596E-004 
      0.44000000 -0.233073109294597E+005  0.201571895272396E-004 
      0.46000000 -0.233073109227553E+005  0.268616345236992E-004 
      0.48000000 -0.233073109144431E+005  0.351738142253473E-004 
      0.50000000 -0.233073109042703E+005  0.453466006538594E-004 
      0.52000000 -0.233073108919658E+005  0.576511395862119E-004 
      0.54000000 -0.233073108772410E+005  0.723759193882106E-004 
      0.56000000 -0.233073108597912E+005  0.898257377600010E-004 
      0.58000000 -0.233073108392964E+005  0.110320513802763E-003 
      0.60000000 -0.233073108154230E+005  0.134193886628641E-003 
      0.62000000 -0.233073107878252E+005  0.161791714976225E-003 
      0.64000000 -0.233073107561463E+005  0.193470617042539E-003 
      0.66000000 -0.233073107200206E+005  0.229596262828904E-003 
      0.68000000 -0.233073106790752E+005  0.270541691235428E-003 
      0.70000000 -0.233073106329311E+005  0.316685769460000E-003 
      0.72000000 -0.233073105812054E+005  0.368411488437738E-003 
      0.74000000 -0.233073105235125E+005  0.426104366555611E-003 
      0.76000000 -0.233073104594657E+005  0.490151246251249E-003 
      0.78000000 -0.233073103886781E+005  0.560938852406385E-003 
      0.80000000 -0.233073103107641E+005  0.638852771466667E-003 
      0.82000000 -0.233073102253402E+005  0.724276712076917E-003 
      0.84000000 -0.233073101320256E+005  0.817591289305642E-003 
      0.86000000 -0.233073100304433E+005  0.919173641041571E-003 
      0.88000000 -0.233073099202202E+005  0.102939666078672E-002 
      0.90000000 -0.233073098009881E+005  0.114862884916475E-002 
      0.92000000 -0.233073096723830E+005  0.127723393341106E-002 
      0.94000000 -0.233073095340460E+005  0.141557086118562E-002 
      0.96000000 -0.233073093856229E+005  0.156399400474906E-002 
      0.98000000 -0.233073092267635E+005  0.172285345485236E-002 
      1.00000000 -0.233073090571214E+005  0.189249547239905E-002 
      1.02000000 -0.233073088763536E+005  0.207326331443003E-002 
      1.04000000 -0.233073086841190E+005  0.226549792708471E-002 
      1.06000000 -0.233073084800779E+005  0.246953896338758E-002 
      1.08000000 -0.233073082638912E+005  0.268572575463122E-002 
      1.10000000 -0.233073080352184E+005  0.291439848593525E-002 
      1.12000000 -0.233073077937177E+005  0.315589925115588E-002 
      1.14000000 -0.233073075390437E+005  0.341057317585413E-002 
      1.16000000 -0.233073072708474E+005  0.367876953098326E-002 
      1.18000000 -0.233073069887741E+005  0.396084284657628E-002 
      1.20000000 -0.233073066924630E+005  0.425715389550321E-002 
      1.22000000 -0.233073063815460E+005  0.456807086284290E-002 
      1.24000000 -0.233073060556466E+005  0.489397030489175E-002 
      1.26000000 -0.233073057143787E+005  0.523523816695024E-002 
      1.28000000 -0.233073053573463E+005  0.559227059384001E-002 
      1.30000000 -0.233073049841422E+005  0.596547467545566E-002 
      1.32000000 -0.233073045943479E+005  0.635526905929295E-002 
      1.34000000 -0.233073041875322E+005  0.676208472074922E-002 
      1.36000000 -0.233073037632520E+005  0.718636494765558E-002 
      1.38000000 -0.233073033210505E+005  0.762856636115706E-002 
      1.40000000 -0.233073028604586E+005  0.808915832793310E-002 
      1.42000000 -0.233073023809932E+005  0.856862367790728E-002 
      1.44000000 -0.233073018821586E+005  0.906745826805303E-002 
      1.46000000 -0.233073013634459E+005  0.958617102879733E-002 
      1.48000000 -0.233073008243333E+005  0.101252836144465E-001 
      1.50000000 -0.233073002642871E+005  0.106853298030325E-001 
      1.52000000 -0.233072996827618E+005  0.112668551343644E-001 
      1.54000000 -0.233072990792009E+005  0.118704160128913E-001 
      1.56000000 -0.233072984530380E+005  0.124965789281211E-001 
      1.58000000 -0.233072978036972E+005  0.131459197585658E-001 
      1.60000000 -0.233072971305941E+005  0.138190228220137E-001 
      1.62000000 -0.233072964331369E+005  0.145164799660177E-001 
      1.64000000 -0.233072957107273E+005  0.152388896243547E-001 
      1.66000000 -0.233072949627615E+005  0.159868554589456E-001 
      1.68000000 -0.233072941886314E+005  0.167609855153091E-001 
      1.70000000 -0.233072933877260E+005  0.175618908892299E-001 
      1.72000000 -0.233072925594323E+005  0.183901846161652E-001 
      1.74000000 -0.233072917031363E+005  0.192464805606506E-001 
      1.76000000 -0.233072908182249E+005  0.201313919839742E-001 
      1.78000000 -0.233072899040867E+005  0.210455301891906E-001 
      1.80000000 -0.233072889601133E+005  0.219895035930475E-001 
      1.82000000 -0.233072879857008E+005  0.229639161297004E-001 
      1.84000000 -0.233072869802507E+005  0.239693662453006E-001 
      1.86000000 -0.233072859431711E+005  0.250064457812140E-001 
      1.88000000 -0.233072848738780E+005  0.260757388943627E-001 
      1.90000000 -0.233072837717956E+005  0.271778212931122E-001 
      1.92000000 -0.233072826363576E+005  0.283132592813557E-001 
      1.94000000 -0.233072814670079E+005  0.294826090222433E-001 
      1.96000000 -0.233072802632012E+005  0.306864157462265E-001 
      1.98000000 -0.233072790244038E+005  0.319252131447172E-001 
      2.00000000 -0.233072777500940E+005  0.331995229184253E-001 
      2.02000000 -0.233072764397626E+005  0.345098543318840E-001 
      2.04000000 -0.233072750929130E+005  0.358567039412150E-001 
      2.06000000 -0.233072737090614E+005  0.372405554951340E-001 
      2.08000000 -0.233072722877371E+005  0.386618797617106E-001 
      2.10000000 -0.233072708284819E+005  0.401211349862174E-001 
      2.12000000 -0.233072693308503E+005  0.416187666405503E-001 
      2.14000000 -0.233072677944089E+005  0.431552080419439E-001 
      2.16000000 -0.233072662187363E+005  0.447308806035513E-001 
      2.18000000 -0.233072646034225E+005  0.463461944160360E-001 
      2.20000000 -0.233072629480680E+005  0.480015488941299E-001 
      2.22000000 -0.233072612522835E+005  0.496973333829739E-001 
      2.24000000 -0.233072595156892E+005  0.514339277056808E-001 
      2.26000000 -0.233072577379138E+005  0.532117031037830E-001 
      2.28000000 -0.233072559185942E+005  0.550310226981749E-001 
      2.30000000 -0.233072540573744E+005  0.568922425563970E-001 
      2.32000000 -0.233072521539049E+005  0.587957119958061E-001 
      2.34000000 -0.233072502078421E+005  0.607417747869769E-001 
      2.36000000 -0.233072482188474E+005  0.627307695311179E-001 
      2.38000000 -0.233072461865862E+005  0.647630306840453E-001 
      2.40000000 -0.233072441107279E+005  0.668388889707225E-001 
      2.42000000 -0.233072419909446E+005  0.689586723133325E-001 
      2.44000000 -0.233072398269107E+005  0.711227062520047E-001 
      2.46000000 -0.233072376183024E+005  0.733313144954713E-001 
      2.48000000 -0.233072353647975E+005  0.755848194531624E-001 
      2.50000000 -0.233072330660744E+005  0.778835424857856E-001 
      2.52000000 -0.233072307218129E+005  0.802278040136017E-001 
      2.54000000 -0.233072283316931E+005  0.826179237762842E-001 
      2.56000000 -0.233072258953963E+005  0.850542206287443E-001 
      2.58000000 -0.233072234126046E+005  0.875370123369538E-001 
      2.60000000 -0.233072208830016E+005  0.900666152933370E-001 
      2.62000000 -0.233072183062727E+005  0.926433441888510E-001 
      2.64000000 -0.233072156821056E+005  0.952675113200252E-001 
      2.66000000 -0.233072130101910E+005  0.979394259393094E-001 
      2.68000000 -0.233072102902232E+005  0.100659393667295E+000 
      2.70000000 -0.233072075219013E+005  0.103427715645075E+000 
      2.72000000 -0.233072047049292E+005  0.106244687668043E+000 
      2.74000000 -0.233072018390176E+005  0.109110599332064E+000 
      2.76000000 -0.233071989238837E+005  0.112025733253897E+000 
      2.78000000 -0.233071959592532E+005  0.114990363672895E+000 
      2.80000000 -0.233071929448613E+005  0.118004755600273E+000 
      2.82000000 -0.233071898804532E+005  0.121069163680672E+000 
      2.84000000 -0.233071867657861E+005  0.124183830815517E+000 
      2.86000000 -0.233071836006295E+005  0.127348987457682E+000 
      2.88000000 -0.233071803847668E+005  0.130564850151322E+000 
      2.90000000 -0.233071771179961E+005  0.133831620823445E+000 
      2.92000000 -0.233071738001314E+005  0.137149485481513E+000 
      2.94000000 -0.233071704310035E+005  0.140518613378180E+000 
      2.96000000 -0.233071670104609E+005  0.143939155984224E+000 
      2.98000000 -0.233071635383709E+005  0.147411245995506E+000 
      3.00000000 -0.233071600146202E+005  0.150934996754476E+000 
      3.02000000 -0.233071564391157E+005  0.154510501195261E+000 
      3.04000000 -0.233071528117852E+005  0.158137831685890E+000 
      3.06000000 -0.233071491325780E+005  0.161817038899144E+000 
      3.08000000 -0.233071454014650E+005  0.165548151927015E+000 
      3.10000000 -0.233071416184391E+005  0.169331177767171E+000 
      3.12000000 -0.233071377835158E+005  0.173166101072382E+000 
      3.14000000 -0.233071338967323E+005  0.177052884580521E+000 
      3.16000000 -0.233071299581481E+005  0.180991468823769E+000 
      3.18000000 -0.233071259678443E+005  0.184981772608123E+000 
      3.20000000 -0.233071219259239E+005  0.189023693038141E+000 
      3.22000000 -0.233071178325107E+005  0.193117106182062E+000 
      3.24000000 -0.233071136877495E+005  0.197261867362603E+000 
      3.26000000 -0.233071094918053E+005  0.201457811651929E+000 
      3.28000000 -0.233071052448620E+005  0.205704754926565E+000 
      3.30000000 -0.233071009471223E+005  0.210002494588199E+000 
      3.32000000 -0.233070965988065E+005  0.214350810386570E+000 
      3.34000000 -0.233070922001514E+005  0.218749465514599E+000 
      3.36000000 -0.233070877514095E+005  0.223198207428184E+000 
      3.38000000 -0.233070832528476E+005  0.227696769337303E+000 
      3.40000000 -0.233070787047457E+005  0.232244871254738E+000 
      3.42000000 -0.233070741073962E+005  0.236842220704502E+000 
      3.44000000 -0.233070694611017E+005  0.241488515159582E+000 
      3.46000000 -0.233070647661750E+005  0.246183441908908E+000 
      3.48000000 -0.233070600229367E+005  0.250926680185740E+000 
      3.50000000 -0.233070552317150E+005  0.255717901900841E+000 
      3.52000000 -0.233070503928443E+005  0.260556772647892E+000 
      3.54000000 -0.233070455066639E+005  0.265442953012074E+000 
      3.56000000 -0.233070405735173E+005  0.270376099600230E+000 
      3.58000000 -0.233070355937512E+005  0.275355865678137E+000 
      3.60000000 -0.233070305677139E+005  0.280381903017378E+000 
      3.62000000 -0.233070254957553E+005  0.285453861650946E+000 
      3.64000000 -0.233070203782259E+005  0.290571391042614E+000 
      3.66000000 -0.233070152154760E+005  0.295734140950045E+000 
      3.68000000 -0.233070100078552E+005  0.300941761715591E+000 
      3.70000000 -0.233070047557123E+005  0.306193904603485E+000 
      3.72000000 -0.233069994593951E+005  0.311490221793663E+000 
      3.74000000 -0.233069941192499E+005  0.316830366963348E+000 
      3.76000000 -0.233069887356225E+005  0.322213994448698E+000 
      3.78000000 -0.233069833088575E+005  0.327640759427323E+000 
      3.80000000 -0.233069778392996E+005  0.333110317281007E+000 
      3.82000000 -0.233069723272935E+005  0.338622323369881E+000 
      3.84000000 -0.233069667731849E+005  0.344176432017728E+000 
      3.86000000 -0.233069611773204E+005  0.349772296490327E+000 
      3.88000000 -0.233069555400491E+005  0.355409567819896E+000 
      3.90000000 -0.233069498617229E+005  0.361087893969822E+000 
      3.92000000 -0.233069441426973E+005  0.366806919642868E+000 
      3.94000000 -0.233069383833327E+005  0.372566284158969E+000 
      3.96000000 -0.233069325839951E+005  0.378365621835751E+000 
      3.98000000 -0.233069267450570E+005  0.384204559909641E+000 
      4.00000000 -0.233069208668989E+005  0.390082718037807E+000 
      4.02000000 -0.233069149499104E+005  0.395999706510064E+000 
      4.04000000 -0.233069089944909E+005  0.401955125967365E+000 
      4.06000000 -0.233069030010514E+005  0.407948565496156E+000 
      4.08000000 -0.233068969700150E+005  0.413979601901384E+000 
      4.10000000 -0.233068909018183E+005  0.420047798623745E+000 
      4.12000000 -0.233068847969119E+005  0.426152704987949E+000 
      4.14000000 -0.233068786557618E+005  0.432293855101403E+000 
      4.16000000 -0.233068724788491E+005  0.438470767798527E+000 
      4.18000000 -0.233068662666716E+005  0.444682945341452E+000 
      4.20000000 -0.233068600197431E+005  0.450929873791253E+000 
      4.22000000 -0.233068537385951E+005  0.457211021826196E+000 
      4.24000000 -0.233068474237755E+005  0.463525841431612E+000 
      4.26000000 -0.233068410758491E+005  0.469873767773055E+000 
      4.28000000 -0.233068346953983E+005  0.476254218589967E+000 
      4.30000000 -0.233068282830223E+005  0.482666594631866E+000 
      4.32000000 -0.233068218393368E+005  0.489110280113105E+000 
      4.34000000 -0.233068153649743E+005  0.495584642657188E+000 
      4.36000000 -0.233068088605827E+005  0.502089034197000E+000 
      4.38000000 -0.233068023268261E+005  0.508622790838689E+000 
      4.40000000 -0.233067957643831E+005  0.515185233854705E+000 
      4.42000000 -0.233067891739464E+005  0.521775670506690E+000 
      4.44000000 -0.233067825562232E+005  0.528393393748497E+000 
      4.46000000 -0.233067759119331E+005  0.535037683856501E+000 
      4.48000000 -0.233067692418082E+005  0.541707808667810E+000 
      4.50000000 -0.233067625465921E+005  0.548403024799128E+000 
      4.52000000 -0.233067558270387E+005  0.555122578212882E+000 
      4.54000000 -0.233067490839120E+005  0.561865704860688E+000 
      4.56000000 -0.233067423179849E+005  0.568631631982649E+000 
      4.58000000 -0.233067355300387E+005  0.575419578203261E+000 
      4.60000000 -0.233067287208624E+005  0.582228754474946E+000 
      4.62000000 -0.233067218912513E+005  0.589058365593914E+000 
