# Real time calculation: 
# Eall: Total energy
# Eall0: Initial total energy
# 1:Time[fs] 2:Eall[eV] 3:Eall-Eall0[eV] 
      0.00000000 -0.233360469163758E+005  0.000000000000000E+000 
      0.02000000 -0.233360469165047E+005 -0.128909325102711E-006 
      0.04000000 -0.233360469165051E+005 -0.129348612939634E-006 
      0.06000000 -0.233360469164921E+005 -0.116352498834607E-006 
      0.08000000 -0.233360469164402E+005 -0.644206332118756E-007 
      0.10000000 -0.233360469162974E+005  0.783169780249636E-007 
      0.12000000 -0.233360469159745E+005  0.401261596842392E-006 
      0.14000000 -0.233360469153324E+005  0.104335192276076E-005 
      0.16000000 -0.233360469141703E+005  0.220550026964605E-005 
      0.18000000 -0.233360469122128E+005  0.416291737375425E-005 
      0.20000000 -0.233360469090986E+005  0.727713093772045E-005 
      0.22000000 -0.233360469043683E+005  0.120074782665740E-004 
      0.24000000 -0.233360468974542E+005  0.189215903978749E-004 
      0.26000000 -0.233360468876714E+005  0.287043882216415E-004 
      0.28000000 -0.233360468742101E+005  0.421656617423257E-004 
      0.30000000 -0.233360468561301E+005  0.602456787326744E-004 
      0.32000000 -0.233360468323568E+005  0.840189279610727E-004 
      0.34000000 -0.233360468016799E+005  0.114695904185078E-003 
      0.36000000 -0.233360467627529E+005  0.153622817355246E-003 
      0.38000000 -0.233360467140961E+005  0.202279643662052E-003 
      0.40000000 -0.233360466540997E+005  0.262276029640849E-003 
      0.42000000 -0.233360465810300E+005  0.335345751576682E-003 
      0.44000000 -0.233360464930360E+005  0.423339739489698E-003 
      0.46000000 -0.233360463881579E+005  0.528217857502872E-003 
      0.48000000 -0.233360462643364E+005  0.652039394188408E-003 
      0.50000000 -0.233360461194230E+005  0.796952782613646E-003 
      0.52000000 -0.233360459511913E+005  0.965184432530553E-003 
      0.54000000 -0.233360457573488E+005  0.115902697169215E-002 
      0.56000000 -0.233360455355489E+005  0.138082689010870E-002 
      0.58000000 -0.233360452834039E+005  0.163297185638482E-002 
      0.60000000 -0.233360449984979E+005  0.191787787319059E-002 
      0.62000000 -0.233360446783992E+005  0.223797659669228E-002 
      0.64000000 -0.233360443206729E+005  0.259570285087827E-002 
      0.66000000 -0.233360439228928E+005  0.299348292146635E-002 
      0.68000000 -0.233360434826521E+005  0.343372361392422E-002 
      0.70000000 -0.233360429975735E+005  0.391880226431158E-002 
      0.72000000 -0.233360424653176E+005  0.445105816388662E-002 
      0.74000000 -0.233360418835908E+005  0.503278496437612E-002 
      0.76000000 -0.233360412501512E+005  0.566622454960077E-002 
      0.78000000 -0.233360405628137E+005  0.635356206719165E-002 
      0.80000000 -0.233360398194537E+005  0.709692208946195E-002 
      0.82000000 -0.233360390180098E+005  0.789836593746353E-002 
      0.84000000 -0.233360381564859E+005  0.875988989289976E-002 
